Gene_ID	DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
NEU1	2785	2684	2679	2883
VARS1	37621	38703	35044	41469
VWA7	118	89	119	106
SAPCD1-AS1	6	29	8	25
SAPCD1	0	0	0	0
RNU6-850P	0	0	0	0
MSH5	49	45	44	66
MSH5-SAPCD1	0	0	0	0
CLIC1	29013	27479	28961	31401
DDAH2	317	261	324	356
MPIG6B	0	0	1	0
LY6G6C	0	2	1	5
LY6G6D	0	0	0	0
LY6G6E	0	0	0	0
LY6G6F	0	0	0	0
LY6G6F-LY6G6D	0	0	0	0
MIR4646	0	1	3	0
LOC105375018	2	3	0	4
ABHD16A	2358	2336	2275	2468
LOC105375019	2	0	0	0
LY6G5C	40	25	43	33
LY6G5B	1263	1115	1301	1539
CSNK2B	9261	8597	8813	9606
GPANK1	1382	1532	1492	1584
C6orf47	1495	1672	1449	1596
APOM	133	137	137	181
BAG6	29987	30568	29403	33692
MIR6832	23	13	19	16
SNORA38	62	71	56	71
PRRC2A	78373	77707	72042	87182
AIF1	0	0	0	0
UQCRHP1	1	0	0	0
NCR3	0	0	2	0
LST1	6	0	6	3
LTB	113	76	106	99
TNF	7	3	10	7
LTA	61	33	45	32
LOC100287329	0	4	0	0
NFKBIL1	2113	1965	1745	2183
ATP6V1G2	0	18	20	16
DDX39B-AS1	7	7	13	16
SNORD84	245	277	302	359
SNORD117	84	75	61	123
DDX39B	0	0	0	0
ATP6V1G2-DDX39B	44	52	56	49
MCCD1	0	0	1	0
RPL15P4	0	0	0	0
PPIAP9	0	0	7	2
MICB	1803	1907	1705	1978
MICB-DT	30	34	29	14
HCG26	29	14	28	17
HCP5	628	657	545	608
HLA-X	4	2	4	6
LINC01149	0	0	2	0
MICA	2920	2952	2828	3254
MICA-AS1	152	120	126	122
LOC124901300	0	0	0	0
LOC105379664	0	0	0	0
RNU6-283P	0	0	0	0
DHFRP2	0	0	0	0
MIR6891	0	0	0	0
HLA-B	9874	8506	9037	9251
LINC02571	0	0	0	0
WASF5P	0	0	0	0
RPL3P2	66	67	97	75
USP8P1	18	14	13	13
HLA-C	19172	18648	18561	19552
HCG27	38	22	40	31
PSORS1C3	127	81	109	160
POU5F1	162	114	143	142
TCF19	2603	2654	2039	2616
RNU6-1133P	0	0	0	0
HCG22	0	0	0	0
MUC22	0	0	0	0
LINC00243	32	40	42	44
HCG20	9	6	6	2
RN7SL353P	0	0	0	0
IER3	17118	22249	18998	23124
IER3-AS1	43	62	30	64
FLOT1	4524	3965	4213	4057
TUBB	127223	118569	132839	133652
MDC1-AS1	7	16	21	30
MDC1	9718	9291	10375	11663
LOC107987457	0	0	0	0
DHX16	6817	6723	6761	7855
C6orf136	2073	1917	1957	2191
PTMAP1	20	20	31	38
ATAT1	472	409	408	451
MRPS18B	7836	7958	7303	8451
PPP1R10	19656	18162	18589	20889
MIR877	0	0	0	0
ABCF1	14966	13936	14742	15593
PRR3	1986	2028	2111	2405
GNL1	6666	6534	6150	6832
LINC02569	33	36	30	17
HLA-E	12665	12023	11402	12239
RANP1	282	206	223	198
SUCLA2P1	2	4	2	1
