DMSO_24h_rep1	DMSO_24h_rep2	GSK591_24h_rep1	GSK591_24h_rep2
BRD2	27306.3573642321	26526.520332214	26694.2261334094	27433.3351432036
HLA-DMA	58.2519826622443	52.0568161052375	57.0988386161676	68.2963981297555
HLA-DMB	0	2.04144376883284	3.11448210633642	3.79424434054197
HLA-Z	0.987321740038039	6.12433130649853	5.19080351056069	6.63992759594845
LOC100294145	892.538852994387	909.463199015031	849.21545432773	787.305700662459
PPP1R2P1	0	2.04144376883284	5.19080351056069	3.79424434054197
PSMB9	753.326487649024	724.712537935659	706.987438138367	759.79742919353
TAP1	7636.93365919423	6783.71764383153	7379.24627061308	7054.44879015266
PSMB8-AS1	152.047547965858	202.102933114451	153.647783912597	129.952868663562
PSMB8	4582.16019551654	4740.23243122986	4528.45698261315	4234.37668404484
TAP2	16792.368154567	17126.6924986231	17072.5527462341	17319.776853489
HLA-DOB	175.743269726771	211.289430074199	204.517658316091	164.10106772844
HLA-DQB2	0	0	0	0
MIR3135B	0	0	0	0
HLA-DQA2	0	0	0	0
LOC102725019	0	0	0	0
HLA-DQB1	1.97464348007608	1.02072188441642	3.11448210633642	7.58848868108394
HLA-DQA1	0	1.02072188441642	6.22896421267283	0
HLA-DRB1	0	4.08288753766568	5.19080351056069	11.3827330216259
FAM8A5P	0	0	0	0
HLA-DRB7	0	0	0	0
LOC100294316	0	0	0	0
PRKRAP1	0	0	0	0
HLA-DRB8	0	0	0	0
HLA-DRB4	0	0	0	0
HLA-DRB9	0	0	0	0
RNU6-603P	0	0	0	0
HNRNPA1P2	1.97464348007608	1.02072188441642	3.11448210633642	4.74280542567746
TSBP1	0	0	0	0
NOTCH4	45.4168000417498	40.8288753766568	35.2974638718127	34.1481990648777
GPSM3	135.263078385211	112.279407285806	127.693766359793	132.798551918969
PBX2	7954.85125948648	8057.57855558323	7736.37355213966	8216.43611944364
AGER	616.088765783736	486.884338866633	653.003081628535	746.517574001633
MIR6833	0	0	0	0
RNF5	3311.47711608758	3762.38086595893	3466.41858435243	3485.96198787294
MIR6721	0	0	0	0
AGPAT1	7044.54061517141	6874.5618915446	6442.82531730793	6907.42182195666
EGFL8	2.96196522011412	3.06216565324926	3.11448210633642	1.89712217027099
PPT2-EGFL8	21.7210782808369	16.3315501506627	23.8776961485792	31.3025158094713
PPT2	662.492887565524	617.536740071935	686.224224096124	733.237718809736
LOC100507547	49.366087001902	43.8910410299061	22.8395354464671	40.7881266608262
PRRT1	23.6957217609129	12.2486626129971	35.2974638718127	7.58848868108394
TNXB	179.692556686923	215.372317611865	162.991230231606	159.358262302763
