baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SMN1	1875.86767389149	0.930549936435843	0.118479273680825	7.85411580883488	4.02602159937547e-15	1.37512793748269e-10
LOC124904423	496.9557091035	1.42696665457754	0.216165733658286	6.6012620521682	4.07672194650142e-11	6.96222574023512e-07
LOC102724560	200.467230356635	2.01351551731581	0.330403532338858	6.09411014180917	1.10047874316357e-09	1.2529317317165e-05
LOC124902367	2607.37425130015	0.516666910924165	0.10279234801704	5.02631685034099	4.99989538960513e-07	0.00426941067318382
LOC100128494	132.515474770242	1.49673094808077	0.348678052886225	4.29258720384435	1.76603154323977e-05	0.100534288984829
DDX46	21003.1464993224	0.349575089884779	0.0810957830456889	4.31064448428633	1.6277942916957e-05	0.100534288984829
GABPB2	2632.70714836765	-0.420960064956252	0.106886677608372	-3.93837730178713	8.20345259024543e-05	0.400281609532033
HDHD2	3688.60250633084	-0.352844789162932	0.0938120834598412	-3.76118700437963	0.000169108937384576	0.722010608163446
LINC02246	1596.09123197134	0.483982371765511	0.130248840369338	3.71582864302756	0.000202538817514009	0.76865731677872
KIR3DL2	0.967941412586766	-0.0521598076304305	3.99259235980727	-0.0130641455299855	0.989576616478828	0.999952062821508
LOC101928804	0.49366087001902	-2.43751812917777	4.89390530269547	-0.498072189471102	0.618433161525602	0.999952062821508
KIR2DS4	0.774260822160175	1.02534769084125	4.45073961928402	0.230376921264648	0.817798893046664	0.999952062821508
NCR1	1.01274122107509	0.0606248215925094	3.92131003899408	0.0154603489623741	0.987664917653732	0.999952062821508
FCAR	78.8112181938783	0.345397508900544	0.522481583712807	0.661071164357821	0.508566676659735	0.999952062821508
EPS8L1	2396.95274105841	-0.0254781541800209	0.126090337809093	-0.202062700621803	0.839867706960135	0.999952062821508
RDH13	3293.37045205949	0.0857938514545362	0.103525551336085	0.828721512199582	0.407262010008375	0.999952062821508
GP6	19.2577544284187	0.620167705969976	0.897546057128462	0.690959200415956	0.489591181060032	0.999952062821508
GP6-AS1	14.0654088320782	0.42295795687636	0.994467987988811	0.425310781226594	0.670610135244531	0.999952062821508
NLRP2	1.02944129326428	0.0190549340949378	3.89593830497865	0.00489097429253112	0.996097582683409	0.999952062821508
NLRP7	0.51908035105607	2.4853337202841	4.8880641757264	0.508449486532112	0.611138155511948	0.999952062821508
LILRB4	0.237140271283873	1.40713425150192	4.99419070695187	0.281754208853739	0.778131984942754	0.999952062821508
LILRB1	0.49366087001902	-2.43751812917777	4.89390530269547	-0.498072189471102	0.618433161525602	0.999952062821508
LILRA2	0.49366087001902	-2.43751812917777	4.89390530269547	-0.498072189471102	0.618433161525602	0.999952062821508
CDC42EP5	28.4230172254308	0.195575529855385	0.707019214082018	0.276619822997762	0.782072041887713	0.999952062821508
