transcript,MCF10A,MDAMB436
L1FLnI_3q26.2g,1011.085305,639.3337254
L1FLnI_5q13.2a,989.1051895,1100.884811
L1FLnI_5q22.1j,974.4517793,512.8345391
L1FLnI_4q28.1la,952.471664,615.4014469
L1FLnI_Xq21.1pd,952.471664,2065.013744
L1FLnI_20q13.13,923.1648435,1200.032821
L1FLnI_6q15i,912.1747859,550.4424053
L1FLnI_1p21.3b,897.5213757,540.1857145
L1FLnI_13q14.2o,890.1946706,444.4566005
L1FLnI_Xq27.3q,879.2046129,249.5794757
L1FLnI_9q21.13k,871.8779078,591.4691684
L1FLnI_3q13.33d,864.5512027,731.6439424
L1FLnI_12q14.1la,842.5710874,687.1982823
L1FLnI_5q31.1a,820.590972,1579.53038
L1FLnI_2q14.1ga,816.9276195,680.3604885
L1FLnI_8q22.2h,813.2642669,817.1163656
L1FLnI_11q21b,805.9375618,167.5259494
L1FLnI_1q25.1h,798.6108567,423.943219
L1FLnI_Xq22.1y,791.2841516,263.2550634
L1FLnI_9q22.32c,783.9574465,2854.778934
L1FLnI_1p11.2g,780.2940939,6.837793854
L1FLnI_Xq28sa,776.6307414,2290.660941
L1FLnI_12q23.3g,772.9673888,523.0912298
L1FLnI_6q22.1u,769.3040363,3077.007234
L1FLnI_6q14.1ia,761.9773312,441.0377036
L1FLnI_5q14.1c,750.9872735,294.0251357
L1FLnI_3q22.2b,739.9972159,317.9574142
L1FLnI_5q35.3b,739.9972159,184.6204341
L1FLnI_12q14.1a,732.6705107,242.7416818
L1FLnI_11q14.1s,721.6804531,659.8471069
L1FLnI_11q12.3a,699.7003378,119.6613924
L1FLnI_13q13.3t,696.0369852,1490.63906
L1FLnI_Xq28pa,670.3935173,2447.9302
L1FLnI_13q22.1a,666.7301648,1001.7368
L1FLnI_1q32.1m,663.0668122,235.903888
L1FLnI_4q28.2a,652.0767546,666.6849008
L1FLnI_1p13.1f,652.0767546,119.6613924
L1FLnI_Xq13.3u,644.7500495,1299.180832
L1FLnI_10q26.3e,641.0866969,287.1873419
L1FLnI_5q35.2h,637.4233443,208.5527126
L1FLnI_15q22.31a,630.0966392,663.2660039
L1FLnI_1p31.3z,622.7699341,184.6204341
L1FLnI_14q11.2d,619.1065816,61.54014469
L1FLnI_7p15.3g,611.7798765,2547.078211
L1FLnI_10q22.3h,611.7798765,543.6046114
L1FLnI_6p12.3h,608.1165239,3169.317451
L1FLnI_7p14.1m,604.4531714,10.25669078
L1FLnI_22q11.1c,597.1264663,75.2157324
L1FLnI_5q31.3b,589.7997611,653.0093131
L1FLnI_2q12.2b,589.7997611,358.9841773
L1FLnI_9p13.3e,589.7997611,290.6062388
L1FLnI_2q24.1ma,571.4829984,567.5368899
L1FLnI_1q32.3e,567.8196458,116.2424955
L1FLnI_1q25.1o,564.1562933,386.3353528
