"locus","count_MCF10A","count_MDAMB436"
"L1FLnI_2q37.3d",8,63
"L1FLnI_11p14.1d",8,18
"L1FLnI_2q13e",8,6
"L1FLnI_15q26.3g",8,3
"L1FLnI_8q12.3d",8,2
"L1FLnI_8q24.3a",8,40
"L1FLnI_14q21.1ba",8,6
"L1FLnI_2q21.3f",8,12
"L1FLnI_4q28.1s",8,7
"L1FLnI_2p14k",8,37
"L1FLnI_1p22.2s",8,11
"L1FLnI_10q11.21i",8,1
"L1FLnI_1q43o",8,2
"L1FLnI_6q22.33i",8,23
"L1FLnI_3q26.33i",8,23
"L1FLnI_10q22.2c",8,13
"L1FLnI_9q31.2b",8,19
"L1FLnI_Xp22.31c",8,57
"L1FLnI_14q21.1t",8,6
"L1FLnI_16q22.2d",8,52
"L1FLnI_5q11.1b",8,1
"L1FLnI_9p22.3f",8,8
"L1FLnI_6q14.1bc",8,3
"L1FLnI_Xq24m",8,3
"L1FLnI_7q11.21i",8,11
"L1FLnI_2q11.2f",7,5
"L1FLnI_8q23.1r",7,5
"L1FLnI_4p12q",7,28
"L1FLnI_8q12.3o",7,0
"L1FLnI_14q23.3m",7,35
"L1FLnI_8q21.3ca",7,33
"L1FLnI_4q24k",7,0
"L1FLnI_6q22.31p",7,34
"L1FLnI_8q11.21c",7,4
"L1FLnI_4q28.2m",7,0
"L1FLnI_11p13o",7,10
"L1FLnI_3p14.1p",7,7
"L1FLnI_2q33.1g",7,19
"L1FLnI_6q24.2i",7,0
"L1FLnI_11p13f",7,27
"L1FLnI_1q23.3e",7,2
"L1FLnI_Xp11.21fb",7,19
"L1FLnI_6q16.1ca",7,51
"L1FLnI_22p11.2d",7,3
"L1FLnI_6p25.3e",7,87
"L1FLnI_4q34.3b",7,5
"L1FLnI_11q24.3f",7,43
"L1FLnI_4p16.2j",7,3
"L1FLnI_4q21.3g",7,0
"L1FLnI_9p24.3c",7,0
"L1FLnI_10q25.1ga",7,17
"L1FLnI_4q21.23b",7,4
"L1FLnI_6q25.1h",7,1
"L1FLnI_5q13.3g",7,12
"L1FLnI_11q13.4g",7,17
"L1FLnI_Xq22.3aa",7,27
"L1FLnI_8q22.2c",7,5
"L1FLnI_9q21.33q",7,95
"L1FLnI_1p22.2l",7,3918
"L1FLnI_Xq13.2ga",7,7
"L1FLnI_2p15a",7,19
"L1FLnI_5q33.1y",7,7
"L1FLnI_12q23.2a",7,5
"L1FLnI_10q23.31z",7,0
"L1FLnI_4q13.1ia",7,9
"L1FLnI_5q13.2c",7,3
"L1FLnI_8q21.13na",7,3
"L1FLnI_10p11.22t",6,1
"L1FLnI_3q12.1j",6,0
"L1FLnI_3q13.11o",6,0
"L1FLnI_5q23.2i",6,8
"L1FLnI_7q36.1o",6,7
"L1FLnI_6p25.1g",6,35
"L1FLnI_4q28.2j",6,8
"L1FLnI_10q24.2a",6,7
"L1ORF2_11q14.3",6,4
"L1FLnI_11p13l",6,22
"L1FLnI_4p14o",6,1
"L1FLnI_5q34ea",6,3
"L1FLnI_3q21.2b",6,143
"L1FLnI_4q28.1ka",6,9
"L1FLnI_14q12sa",6,17
"L1FLnI_4q25p",6,20
"L1FLnI_2q35b",6,1
"L1FLnI_2q33.3i",6,2
"L1FLnI_6p21.32b",6,18
"L1FLnI_1q32.1l",6,10
"L1FLnI_8q24.21g",6,8
"L1FLnI_13q14.11a",6,13
"L1FLnI_3p25.1i",6,8
"L1FLnI_19q11c",6,2
"L1FLnI_18q12.3y",6,3
"L1FLnI_7p14.2h",6,6
"L1FLnI_13q14.11i",6,9
"L1FLnI_3q21.3b",6,0
"L1FLnI_12p12.2f",6,7
"L1FLnI_17p13.1a",6,36
"L1FLnI_11q13.5f",6,7
"L1FLI_11q14.1",6,10
"L1FLnI_Xq23bb",6,8
"L1FLnI_13q31.1f",6,3
"L1FLnI_3q25.31b",6,36
"L1FLnI_2q37.1g",6,16
"L1FLnI_2q33.1a",6,8
"L1FLnI_8p11.23c",6,2
"L1FLnI_12q14.1ma",6,16
"L1FLnI_Xp11.21za",6,14
"L1FLnI_6q16.2a",6,9
"L1FLnI_11q24.2c",6,2
"L1FLnI_19q13.12c",6,2
"L1FLnI_2p15i",6,8
"L1FLnI_1q21.3c",6,0
"L1FLnI_2p22.2f",6,6
"L1FLnI_6q21s",6,20
"L1FLnI_1p22.1m",6,3
"L1FLnI_2p15o",6,2
"L1FLI_15q21.3",6,17
"L1FLnI_3q13.2e",6,21
"L1FLnI_13q32.1d",6,11
"L1FLnI_11p13r",6,16
"L1FLnI_7q11.21j",6,7
"L1FLnI_20p11.23i",6,3
"L1FLnI_9q31.1s",6,12
"L1FLnI_14q21.3aa",5,8
"L1FLI_8q24.13",5,13
"L1FLnI_1q41q",5,7
"L1FLnI_4p15.2y",5,7
"L1FLnI_7q11.23a",5,14
"L1FLnI_18p11.21p",5,3
"L1FLnI_10p15.1a",5,1
"L1FLnI_13q13.3b",5,1
"L1FLnI_Xp11.21dc",5,208
"L1FLnI_8p21.2h",5,2
"L1FLnI_13q14.3i",5,6
"L1FLnI_11q14.2z",5,2
"L1FLnI_3q22.3d",5,2
"L1FLnI_4q26b",5,14
"L1FLnI_4q32.1a",5,0
"L1FLnI_1p31.3d",5,3
"L1FLnI_1q42.12a",5,2
"L1FLnI_11q14.1fa",5,2
"L1FLnI_7q36.1a",5,48
"L1FLnI_7p14.1k",5,5
"L1FLnI_11p12xa",5,162
"L1FLnI_Xq12eb",5,8
"L1FLnI_2q23.1e",5,7
"L1ORF2_1p31.1",5,57
"L1FLnI_19q13.11f",5,18
"L1FLnI_11p15.4ca",5,1
"L1FLI_Xp11.22",5,8
"L1FLnI_2q14.1fa",5,1
"L1FLnI_4p15.31n",5,14
"L1FLnI_13q14.2v",5,8
"L1FLnI_12q21.31s",5,8
"L1FLnI_9p24.1g",5,73
"L1FLnI_9p22.3j",5,1
"L1FLnI_9p24.2h",5,5
"L1FLnI_3q13.11m",5,0
"L1FLnI_11q13.4e",5,3
"L1FLnI_12q21.32z",5,14
"L1FLnI_2p22.3a",5,5
"L1FLI_5q21.3",5,7
"L1FLnI_1p22.3n",5,7
"L1FLnI_4q32.3ea",5,1
"L1FLnI_4q24l",5,1
"L1FLnI_9p22.3p",5,1
"L1FLnI_18q11.2c",5,8
"L1FLnI_1p31.3a",5,2
"L1FLnI_2p24.1c",5,26
"L1FLnI_2q13c",5,46
"L1FLnI_4q22.1l",5,1
"L1FLI_6p21.1",5,13
"L1FLnI_6q25.3d",5,6
"L1FLnI_1p13.2e",5,4
"L1FLnI_20q13.12d",5,10
"L1FLnI_1p31.1ka",5,7
"L1FLnI_8q23.1i",5,4
"L1FLnI_2p13.3b",5,2
"L1FLnI_7p14.2a",5,11
"L1FLnI_1q24.1d",5,8
"L1FLnI_2q33.3g",5,8
"L1FLnI_7q22.1h",5,19
"L1FLnI_9q22.32g",5,9
"L1FLnI_9p24.1i",5,0
"L1FLnI_14q22.2g",5,4
"L1FLnI_3q21.2c",5,47
"L1ORF2_3p26.1",5,7
"L1FLnI_18q21.2n",5,27
"L1FLnI_5q12.1o",5,1
"L1FLnI_4q21.21u",5,70
"L1FLnI_Xp11.21ya",5,6
"L1FLnI_8p22n",5,0
"L1FLnI_6q22.1d",5,0
"L1FLnI_Xp11.3s",5,6
"L1FLnI_1q42.13c",5,2
"L1FLnI_2p14a",5,6
"L1FLnI_Xq21.1aa",5,6
"L1FLnI_3q22.3k",5,0
"L1FLnI_14q23.3j",5,9
"L1FLnI_6q25.3j",5,21
"L1FLnI_Xq22.2a",5,6
"L1FLnI_3p24.3db",5,43
"L1FLnI_5q11.2t",5,13
"L1FLnI_Yq11.21o",5,2
"L1FLnI_11q21q",5,26
"L1FLnI_4q28.1ja",5,9
"L1FLnI_4q23k",5,0
"L1FLnI_9p21.3i",5,363
"L1FLnI_Yp11.2oa",5,0
"L1FLnI_11q14.2l",5,14
"L1FLnI_7q31.1u",5,0
"L1FLnI_3p11.2a",5,152
"L1FLnI_2p23.2a",5,16
"L1FLnI_12p13.33b",5,4
"L1FLnI_3p14.3q",5,8
"L1FLnI_8q21.13la",5,4
"L1FLnI_2p16.3o",5,5
"L1FLnI_9q22.32b",5,8
"L1FLnI_5q14.1i",5,8
"L1FLnI_7p15.3f",5,4
"L1FLnI_7p11.2h",5,5
"L1FLnI_1p31.3j",4,4
"L1FLnI_3p24.2e",4,4
"L1FLnI_3p21.1a",4,77
"L1FLnI_3q13.13ba",4,12
"L1FLnI_7p14.3p",4,57
"L1FLnI_7q31.32h",4,13
"L1FLnI_8p11.1f",4,9
"L1FLnI_Xp21.1v",4,9
"L1FLnI_4q24n",4,5
"L1FLnI_5p13.3s",4,0
"L1FLnI_6p12.3j",4,0
"L1FLnI_1p11.2i",4,1
"L1FLnI_1q24.1a",4,12
"L1FLnI_1q25.2p",4,32
"L1FLnI_2q14.2f",4,11
"L1FLnI_3q13.31l",4,13
"L1FLnI_3q23v",4,13
"L1FLnI_4q22.3f",4,5
"L1FLnI_5q14.3fb",4,7
"L1FLnI_6p11.2f",4,11
"L1FLnI_9p21.1a",4,4
"L1FLnI_9p21.1ma",4,1
"L1FLnI_11q22.3ba",4,15
"L1FLnI_13q12.3l",4,14
"L1FLnI_Xq21.33h",4,9
"L1FLnI_Xq27.1u",4,0
"L1FLnI_5q31.2e",4,10
"L1FLnI_9p21.3c",4,5
"L1FLI_Xq11.2",4,6
"L1FLnI_3q13.11l",4,0
"L1FLnI_9q33.3f",4,10
"L1FLnI_3p21.31d",4,0
"L1FLnI_9p24.1b",4,9
"L1FLnI_9q31.2l",4,0
"L1FLnI_Xq22.3y",4,432
"L1FLnI_Xq23x",4,5
"L1FLnI_Xq26.2e",4,5
"L1FLnI_1q21.3a",4,0
"L1FLI_11q21a",4,9
"L1FLnI_16q12.1j",4,7
"L1FLnI_7q31.1wa",4,0
"L1FLnI_12q14.1r",4,0
"L1FLnI_14q23.1l",4,5
"L1FLnI_1p11.2d",4,9
"L1FLnI_12q23.3o",4,10
"L1FLnI_6q14.2h",4,3
"L1FLnI_4q22.1a",4,11
"L1FLnI_1p32.1d",4,7
"L1FLnI_1p22.2o",4,11
"L1FLnI_3q22.1p",4,5
"L1FLnI_3q25.32m",4,11
"L1FLnI_6q24.2c",4,10
"L1FLnI_7q11.23e",4,0
"L1FLnI_10q21.1pa",4,8
"L1FLnI_10q25.1s",4,13
"L1FLnI_15q25.3v",4,2
"L1FLnI_Xp11.23d",4,16
"L1FLnI_2q31.2a",4,11
"L1FLI_4q22.2",4,8
"L1FLnI_4q23u",4,9
"L1FLnI_5q14.2b",4,5
"L1FLnI_5q21.3p",4,17
"L1FLnI_11q24.2h",4,1
"L1FLnI_12q13.11f",4,0
"L1FLnI_15q23h",4,5
"L1FLnI_19q12q",4,1
"L1FLnI_Xq21.31x",4,4
"L1FLnI_1q42.12d",4,1
"L1FLnI_3q21.2a",4,5
"L1FLnI_17p13.1c",4,0
"L1FLnI_4q32.3da",4,200
"L1FLnI_1q21.1d",4,1
"L1FLnI_12p12.1g",4,2
"L1FLnI_11q24.3d",4,4
"L1ORF2_3q22.3",4,4
"L1FLnI_11p14.3e",4,7
"L1FLnI_1q31.3r",4,11
"L1FLnI_8q24.23h",4,7
"L1FLnI_Yq11.21l",4,4
"L1FLnI_15q13.3a",4,2
"L1FLnI_12q13.3c",4,0
"L1FLnI_1p21.2m",4,28
"L1FLnI_3p22.2b",4,4
"L1FLnI_3q22.3l",4,3
"L1FLnI_13q14.3d",4,14
"L1FLnI_4q31.1e",4,113
"L1FLnI_4q32.1e",4,4
"L1FLnI_7p14.3r",4,29
"L1FLnI_5q33.1u",4,6
"L1FLnI_Xp11.21vb",4,46
"L1FLnI_11p11.2e",4,5
"L1FLnI_13q32.1e",4,13
"L1FLnI_3p25.3e",4,7
"L1FLnI_1q41la",4,8
"L1FLnI_6q21g",4,14
"L1FLnI_1p31.1bb",4,13
"L1FLnI_2p13.1c",4,16
"L1FLnI_6q14.1ub",4,17
"L1FLnI_7p14.3e",4,41
"L1FLnI_1p22.2v",4,6
"L1FLnI_1q31.1c",4,5
"L1FLI_1q32.2",4,9
"L1FLnI_1q42.12e",4,0
"L1FLnI_4q12ca",4,7
"L1FLI_18q11.2",4,15
"L1FLnI_10p14c",4,3
"L1FLnI_10q24.2l",4,8
"L1ORF2_2p25.2",4,13
"L1FLnI_4q25e",4,23
"L1FLnI_11q13.4h",4,21
"L1FLnI_8q21.3b",4,4
"L1FLnI_8q13.3s",4,11
"L1ORF2_11q14.1",4,10
"L1FLI_8q21.11b",4,18
"L1FLnI_19p13.2a",4,7
"L1FLnI_2q23.1g",4,19
"L1FLnI_8q22.1aa",4,1
"L1FLnI_5q11.1f",4,1
"L1FLnI_Xq13.1t",4,3
"L1FLnI_11p13y",4,15
"L1FLnI_20q12a",4,10
"L1FLnI_1p22.3c",4,9
"L1FLnI_3p14.3k",4,7
"L1FLnI_Xq21.1nf",4,44
"L1FLnI_Xp22.2j",4,1
"L1FLnI_1p31.3r",4,1
"L1FLI_3q22.3",4,8
"L1FLnI_2q33.1f",4,50
"L1FLnI_7q22.3g",4,17
"L1FLnI_Xp22.2z",4,2
"L1FLnI_4q31.22j",4,6
"L1FLnI_3p14.2c",4,2
"L1FLI_6p22.3",4,48
"L1FLnI_1q25.2o",4,4
"L1FLnI_11q12.1f",4,16
"L1FLnI_13q22.2d",4,20
"L1FLnI_3q27.3b",4,2
"L1FLnI_6p21.1m",4,6
"L1FLnI_1q21.2e",4,3
"L1FLnI_7q31.2l",4,103
"L1FLnI_1q42.12g",4,0
"L1FLnI_6q25.3n",4,30
"L1FLnI_2p23.1d",4,4
"L1FLnI_13q14.3e",4,5
"L1FLnI_4q28.2g",4,4
"L1FLnI_11q22.3u",4,7
"L1FLnI_4q26oa",4,12
"L1FLI_11q12.2",4,6
"L1FLnI_1q43k",4,0
"L1FLnI_3q22.1q",4,7
"L1FLnI_Xp22.2r",4,1
"L1FLnI_4p15.2v",4,13
"L1FLnI_18q12.2m",4,2
"L1FLnI_Xq26.2n",4,6
"L1FLnI_6q15a",4,5
"L1FLnI_4q23r",4,4
"L1FLnI_7p21.2p",4,9
"L1FLnI_2q32.2d",4,0
"L1FLnI_13q22.2c",4,0
"L1FLnI_12q14.3c",4,6
"L1FLnI_5q32q",4,0
"L1FLnI_4q21.3d",4,1
"L1FLnI_1p31.3s",4,14
"L1FLnI_18q21.1l",4,2
"L1FLnI_1q23.1h",4,3
"L1FLnI_3p24.2c",4,13
"L1FLnI_2p24.2i",4,7
"L1FLnI_13q14.3x",4,5
"L1FLnI_1p21.3j",3,0
"L1FLnI_2p22.3w",3,8
"L1FLnI_2q33.1u",3,1
"L1FLnI_3p24.2b",3,0
"L1FLnI_3p24.1s",3,0
"L1FLnI_3q11.1j",3,15
"L1FLnI_4q21.3c",3,5
"L1FLnI_4q32.3w",3,10
"L1FLnI_5q31.1c",3,17
"L1FLnI_6q13ia",3,6
"L1FLnI_6q22.33q",3,7
"L1FLnI_6q27r",3,6
"L1FLnI_7p21.1b",3,1
"L1FLnI_7p13a",3,12
"L1FLnI_8p21.2i",3,5
"L1FLnI_8q21.3ga",3,1
"L1FLnI_9p21.2n",3,12
"L1FLnI_9p21.1ha",3,50
"L1FLnI_10p11.21a",3,14
"L1FLnI_10q23.31v",3,0
"L1FLnI_11p15.4fa",3,7
"L1FLnI_11q14.2a",3,3
"L1FLnI_12p12.2i",3,25
"L1FLnI_12q12d",3,11
"L1FLnI_12q12s",3,15
"L1FLnI_13q13.1a",3,1
"L1FLnI_14q23.1k",3,0
"L1FLnI_16q22.2g",3,8
"L1FLnI_Xp22.33a",3,1
"L1FLnI_Xq25t",3,3
"L1FLnI_1p32.3d",3,5
"L1FLnI_1p22.1l",3,11
"L1FLnI_1p11.2b",3,5
"L1FLnI_2p15c",3,1
"L1FLnI_2p15k",3,4
"L1FLnI_2q24.3b",3,3
"L1FLnI_3p26.1a",3,5
"L1FLnI_3p25.1h",3,49
"L1FLnI_3p13h",3,3
"L1FLnI_3q29i",3,4
"L1FLnI_4q22.1p",3,5
"L1FLnI_4q32.1j",3,1
"L1FLnI_4q34.1m",3,0
"L1FLnI_5q11.2va",3,11
"L1FLnI_5q14.3ia",3,8
"L1FLnI_5q31.1q",3,12
"L1FLnI_6p25.1f",3,2
"L1FLnI_6q16.2g",3,9
"L1FLnI_6q21l",3,14
"L1FLnI_7p14.1p",3,0
"L1FLnI_7p12.1a",3,0
"L1FLnI_7q31.1x",3,6
"L1FLnI_8q22.2a",3,10
"L1FLnI_10p11.22k",3,6
"L1FLnI_10q11.21g",3,5
"L1FLnI_10q26.11a",3,6
"L1FLnI_11p15.4ga",3,12
"L1FLnI_11q14.1p",3,14
"L1FLnI_11q21i",3,2
"L1ORF2_12q21.33",3,9
"L1FLnI_12q24.32d",3,235
"L1FLnI_13q31.3o",3,6
"L1FLnI_13q33.3i",3,13
"L1FLnI_16q22.3",3,8
"L1FLnI_19p13.11",3,6
"L1FLnI_Xp11.21eb",3,4
"L1FLnI_Xq22.1db",3,4
"L1FLnI_Yp11.2t",3,2
"L1FLnI_3p26.2c",3,4
"L1FLnI_5q31.1r",3,15
"L1FLnI_Xq21.31ka",3,0
"L1FLnI_1q11c",3,2
"L1FLnI_2p22.2b",3,2
"L1FLnI_3p13f",3,7
"L1FLnI_4q12wa",3,1
"L1FLnI_4q32.1u",3,4
"L1FLnI_5q11.1h",3,0
"L1FLnI_5q34b",3,76
"L1FLnI_5q35.1f",3,2
"L1FLnI_6q21d",3,9
"L1FLnI_7q31.1m",3,0
"L1FLnI_8q21.2p",3,18
"L1FLnI_8q21.3v",3,19
"L1FLnI_9q22.33d",3,3
"L1FLI_11q21b",3,6
"L1FLnI_12p12.1m",3,5
"L1FLnI_12q12ya",3,1
"L1FLnI_13q14.3k",3,11
"L1FLnI_22q11.1a",3,7
"L1FLnI_Xp11.21cc",3,52
"L1FLnI_Xq21.2da",3,6
"L1FLnI_10q25.3c",3,38
"L1FLnI_1q42.12l",3,0
"L1FLnI_4q12z",3,10
"L1FLnI_5q14.3k",3,3
"L1FLnI_4q12p",3,5
"L1FLnI_5q15ba",3,3
"L1FLnI_9q13k",3,229
"L1FLnI_9q21.31j",3,0
"L1FLnI_3q25.2j",3,4
"L1FLnI_5q15g",3,6
"L1FLnI_5q22.3w",3,13
"L1FLnI_6q16.3a",3,4
"L1FLnI_6q22.1la",3,16
"L1FLnI_9q32c",3,31
"L1FLnI_11p13d",3,10
"L1FLnI_15q23m",3,2
"L1FLnI_15q25.2i",3,15
"L1FLnI_2p25.1e",3,7
"L1FLnI_2p13.1f",3,23
"L1FLnI_5q35.2k",3,16
"L1FLnI_15q26.2g",3,6
"L1FLnI_Xp22.2t",3,1
"L1FLnI_3p14.3d",3,4
"L1FLnI_11q22.2b",3,5
"L1FLnI_12q13.2h",3,4
"L1FLnI_11q24.3j",3,7
"L1FLnI_14q12va",3,1
"L1FLnI_18q12.1ca",3,2
"L1FLnI_Xp11.21db",3,7
"L1FLnI_5p13.2aa",3,19
"L1FLnI_3q13.11b",3,6
"L1FLnI_14q31.1n",3,9
"L1FLnI_2q14.1a",3,11
"L1FLnI_12q23.1ha",3,1
"L1FLnI_12q21.33d",3,5
"L1FLnI_2q24.3q",3,6
"L1FLnI_7q31.1p",3,4
"L1FLnI_3p25.1g",3,6
"L1FLI_3q23",3,38
"L1FLnI_4q12v",3,8
"L1FLnI_10p12.31i",3,1
"L1FLnI_15q13.3h",3,3
"L1FLnI_16q22.2h",3,37
"L1FLnI_1p22.1k",3,1
"L1FLnI_1q23.1t",3,0
"L1FLnI_2p24.2a",3,2
"L1FLnI_2q33.1q",3,2
"L1FLnI_3p14.3p",3,10
"L1FLnI_3p14.2g",3,2
"L1FLnI_3p14.2y",3,10
"L1FLnI_3q22.2i",3,1
"L1FLnI_3q26.1p",3,2
"L1FLnI_4q13.1va",3,4
"L1FLnI_5q13.3c",3,1
"L1FLnI_5q23.3s",3,8
"L1FLnI_5q33.1n",3,1
"L1FLnI_5q33.3k",3,1
"L1FLnI_6q13ha",3,8
"L1FLnI_7p21.2e",3,1
"L1FLnI_8q21.13i",3,11
"L1FLnI_8q23.1c",3,7
"L1FLnI_9q21.12e",3,23
"L1FLnI_9q33.2f",3,0
"L1FLnI_11q25i",3,4
"L1FLnI_12q12ga",3,1
"L1FLnI_12q23.1ja",3,9
"L1FLnI_13q12.3a",3,13
"L1FLnI_14q21.2e",3,4
"L1FLnI_15q13.2a",3,9
"L1FLnI_15q21.2a",3,6
"L1FLI_17p13.1",3,12
"L1FLnI_Xp11.21rb",3,12
"L1ORF2_Xq13.3",3,9
"L1FLnI_Xq26.3b",3,2
"L1FLnI_Xq28ga",3,3
"L1FLnI_14q21.1q",3,6
"L1FLnI_Xq26.1e",3,15
"L1FLnI_10q22.2b",3,5
"L1FLnI_22q12.3i",3,2
"L1FLnI_1q31.3o",3,4
"L1FLnI_2p16.2f",3,7
"L1FLnI_3p14.3a",3,4
"L1FLnI_5q21.2a",3,43
"L1FLnI_6q22.31ka",3,2
"L1FLnI_8p12fa",3,6
"L1FLnI_8p12ja",3,2
"L1FLnI_8q12.1y",3,12
"L1FLnI_9q12a",3,0
"L1FLnI_10p12.2a",3,7
"L1FLnI_12q12ea",3,2
"L1FLnI_12q14.1k",3,0
"L1FLnI_12q23.3e",3,12
"L1FLnI_13q12.3i",3,4
"L1FLnI_20q13.12h",3,5
"L1FLnI_Xq21.1if",3,12
"L1FLnI_Yp11.2fa",3,0
"L1FLnI_3p11.1o",3,15
"L1FLnI_4q27y",3,2
"L1FLnI_5p15.2p",3,13
"L1FLnI_5q23.1b",3,8
"L1FLnI_13q12.12c",3,2
"L1FLnI_5q33.2a",3,5
"L1FLnI_Xq22.1fb",3,11
"L1FLnI_4q35.1a",3,3
"L1FLI_6q16.3",3,8
"L1FLnI_6q27q",3,5
"L1FLnI_8q21.13o",3,21
"L1FLnI_8q22.2d",3,6
"L1FLnI_9q31.2t",3,4
"L1FLnI_14q13.3i",3,4
"L1FLnI_14q22.3n",3,8
"L1FLnI_1p31.1cb",3,2
"L1FLnI_1q21.3b",3,0
"L1FLnI_6q16.3b",3,8
"L1FLnI_18q21.1n",3,12
"L1FLnI_3p26.2d",3,5
"L1FLnI_7p22.3",3,5
"L1FLnI_13q14.3b",3,4
"L1FLnI_1p21.3g",3,10
"L1FLnI_12p13.31n",3,2
"L1FLnI_19q13.12a",3,3
"L1FLnI_Xq24j",3,8
"L1FLnI_6p21.1h",3,5
"L1FLnI_9q21.33b",3,4
"L1FLnI_18q12.3i",3,2
"L1FLnI_15q26.2h",3,10
"L1FLnI_2q33.1v",3,1
"L1FLnI_10p12.1i",3,5
"L1FLnI_10p11.22e",3,3
"L1FLnI_15q25.3a",3,9
"L1FLnI_18q21.2q",3,6
"L1FLnI_2q11.1e",3,7
"L1FLnI_3p21.2k",3,3
"L1FLnI_13q14.11e",3,9
"L1FLnI_Xq13.1d",3,3
"L1FLI_2p24.2",3,10
"L1FLnI_11p15.4c",3,24
"L1FLnI_2q24.1n",3,15
"L1FLnI_1p31.3k",3,10
"L1FLnI_8q21.3ba",3,24
"L1FLnI_3p24.3u",3,6
"L1FLnI_13q12.12e",3,50
"L1FLnI_18q21.1i",3,16
"L1FLnI_14q31.3r",3,0
"L1FLnI_2p14n",3,7
"L1FLnI_3q23c",3,3
"L1FLnI_4p15.33j",3,1
"L1FLnI_4q32.3u",3,6
"L1FLnI_4q35.1b",3,5
"L1FLnI_5q12.1c",3,1
"L1FLnI_7p15.3e",3,0
"L1FLnI_8q24.3b",3,1
"L1FLnI_10q23.33r",3,1
"L1FLnI_10q25.1z",3,12
"L1FLnI_14q23.1ca",3,31
"L1FLI_18q21.32",3,12
"L1FLI_3p14.1",3,6
"L1FLnI_2q33.1p",3,1
"L1FLnI_3q22.3i",3,0
"L1FLnI_4q24va",3,4
"L1FLnI_2q23.3n",3,13
"L1FLnI_12q14.1h",3,1
"L1FLnI_9q31.1b",3,7
"L1FLnI_5q21.1i",3,11
"L1FLnI_4q21.1p",3,0
"L1FLnI_12p12.3r",3,6
"L1FLnI_4q26j",3,8
"L1FLnI_9p22.2g",3,6
"L1FLnI_14q31.1b",3,15
"L1FLnI_11q24.2i",3,3
"L1FLnI_Xq21.1yb",3,2
"L1FLnI_12p13.32c",3,64
"L1FLnI_2p23.1e",3,3
"L1FLnI_12q15k",3,106
"L1FLnI_13q14.11q",3,0
"L1FLnI_2p22.3b",3,2
"L1FLnI_Xq13.2ea",3,16
"L1FLnI_Xq22.1cb",3,15
"L1FLnI_3q13.2i",3,3
"L1FLnI_4q12s",3,14
"L1FLnI_16q22.2e",3,12
"L1FLnI_21q11.2d",3,3
"L1FLnI_8q11.21o",3,8
"L1FLnI_18p11.32n",3,9
"L1FLnI_11p14.2c",3,5
"L1FLnI_6q14.1yb",3,6
"L1FLnI_3p14.1fa",3,0
"L1FLI_9p22.1",3,9
"L1FLnI_Xq22.1ib",3,1
"L1FLnI_22q12.3f",3,5
"L1FLnI_6p11.2c",3,5
"L1FLnI_12p13.2g",3,60
"L1FLnI_2q24.3v",3,4
"L1FLnI_3p25.1j",3,6
"L1FLnI_3q25.1c",3,7
"L1FLnI_12q13.11p",3,28
"L1FLnI_14q22.2f",3,12
"L1FLnI_1q24.2h",3,15
"L1FLnI_1q31.2p",3,11
"L1FLnI_6p24.3f",3,11
"L1FLnI_11q23.2e",3,17
"L1FLnI_16q12.1a",3,9
"L1FLnI_6q21e",3,5
"L1FLnI_8q22.3d",3,2615
"L1FLnI_8q23.3v",3,5
"L1FLnI_9q31.3g",3,9
"L1FLnI_Xq21.1hf",3,5
"L1FLnI_5q35.1c",3,7
"L1FLnI_2p24.1a",3,9
"L1FLnI_22q11.1k",3,3
"L1FLnI_3q26.31b",3,8
"L1FLnI_15q23g",3,12
"L1FLnI_4q32.1q",3,0
"L1FLnI_7q21.11ba",3,5
"L1FLnI_11p13x",3,35
"L1FLnI_8q24.23f",3,7
"L1FLnI_3q13.12d",3,4
"L1FLnI_4q21.21k",3,13
"L1FLI_6q13",3,10
"L1FLnI_6q24.3c",3,5
"L1FLnI_7q21.13x",3,2
"L1FLnI_11p14.3i",3,10
"L1FLnI_Xq21.1lc",3,1
"L1FLnI_9q33.1n",3,4
"L1FLnI_8q12.3x",3,1
"L1FLnI_1q32.2k",3,3
"L1FLnI_7q21.13z",3,8
"L1FLnI_5q15y",3,1
"L1FLnI_15q25.2b",3,4
"L1FLnI_6q13o",3,3
"L1FLnI_9p24.1u",3,1
"L1FLnI_1q24.3j",3,3
"L1FLnI_4p13d",3,9
"L1FLnI_1p31.1z",3,0
"L1FLnI_1q32.3a",3,15
"L1FLnI_2q32.1g",3,1
"L1FLnI_7q33j",3,2
"L1FLnI_10q23.1na",3,3
"L1FLnI_Xq21.31cb",3,3
"L1FLnI_11p15.4ha",3,6
"L1FLnI_17q24.3d",3,8
"L1FLnI_11q24.2g",3,0
"L1FLI_5q35.3",3,19
"L1FLnI_4q32.3o",3,5
"L1FLnI_4q12ha",3,8
"L1FLnI_2q22.3p",3,2
"L1FLnI_4q24y",3,1
"L1FLnI_3q11.2f",3,2
"L1FLnI_3p24.1n",3,3
"L1FLnI_10p11.21k",3,4
"L1FLnI_18p11.31j",3,13
"L1FLnI_4p12c",3,0
"L1FLnI_5q13.1i",3,6
"L1ORF2_6p22.3",3,10
"L1FLnI_5q31.1t",3,3
"L1FLnI_11p15.3m",3,0
"L1FLnI_16p11.1e",3,3
"L1FLnI_4q31.23q",3,6
"L1FLnI_3p24.3la",3,2
"L1FLnI_9p21.3ha",3,1
"L1FLnI_1p34.2b",2,17
"L1FLnI_1p32.3e",2,3
