"locus","count_MCF10A","count_MDAMB436"
"L1FLnI_15q22.31a",172,194
"L1FLnI_1p31.3z",170,54
"L1FLnI_14q11.2d",169,18
"L1FLnI_7p15.3g",167,745
"L1FLnI_10q22.3h",167,159
"L1FLnI_6p12.3h",166,927
"L1FLnI_7p14.1m",165,3
"L1FLnI_22q11.1c",163,22
"L1FLnI_5q31.3b",161,191
"L1FLnI_2q12.2b",161,105
"L1FLnI_9p13.3e",161,85
"L1FLnI_2q24.1ma",156,166
"L1FLnI_1q32.3e",155,34
"L1FLnI_1q25.1o",154,113
"L1FLnI_12p13.33a",153,176
"L1FLnI_8p21.2p",152,139
"L1FLnI_5q31.3a",152,122
"L1FLnI_6q21m",148,37
"L1FLnI_11q23.2d",148,100
"L1FLnI_14q23.3p",144,63
"L1FLnI_13q14.11s",143,205
"L1FLnI_14q13.2",140,13
"L1FLnI_20p11.21a",140,1356
"L1FLnI_7q32.1",139,77
"L1FLnI_2q33.1r",138,51
"L1FLnI_Xq22.1la",138,165
"L1FLnI_5q14.1h",137,41
"L1FLnI_7q31.33h",137,68
"L1FLnI_1p13.2m",136,172
"L1FLnI_18p11.21k",136,160
"L1FLnI_5q15c",136,80
"L1FLnI_16q12.1d",135,52
"L1FLnI_2q31.2g",134,0
"L1FLnI_12q13.11y",134,217
"L1FLnI_Xq25q",131,246
"L1FLnI_5q15n",131,35
"L1FLnI_Yp11.2v",130,56
"L1FLnI_1q24.2j",130,53
"L1FLnI_4p13e",130,88
"L1FLnI_3p21.2m",129,111
"L1FLnI_1q25.1i",129,50
"L1FLnI_6q22.1ha",129,0
"L1FLnI_10q11.21u",129,32
"L1FLnI_9p11.2d",127,76
"L1FLnI_21q22.3b",126,265
"L1FLnI_6q16.2d",126,91
"L1FLnI_6q22.1v",126,70
"L1FLnI_2q31.1s",125,57
"L1FLnI_6q13f",125,85
"L1FLnI_14q24.1e",124,62
"L1FLnI_15q25.1a",124,77
"L1FLnI_2p23.1c",123,218
"L1FLnI_4q26qa",122,32
"L1FLnI_14q22.1c",122,125
"L1FLnI_3p14.3l",118,76
"L1FLnI_4q12ab",118,9
"L1FLnI_15q21.2m",117,83
"L1FLnI_10q24.1b",117,51
"L1FLnI_Xq13.3fa",115,105
"L1FLnI_2q11.2b",114,91
"L1FLnI_10q25.3l",114,183
"L1FLnI_Xq13.1ja",113,125
"L1FLnI_5q12.3j",112,97
"L1FLnI_4q13.2o",110,274
"L1FLnI_4q28.2l",110,779
"L1FLnI_1q25.1m",110,543
"L1FLnI_Xq22.3ba",109,359
"L1FLnI_5q21.1l",109,56
"L1FLnI_7p14.2e",109,160
"L1FLnI_7p21.1g",107,68
"L1FLnI_Yp11.2h",107,74
"L1FLnI_2q21.3e",105,48
"L1FLnI_1q24.2k",105,53
"L1FLnI_Xq26.3h",104,277
"L1FLnI_2q14.1ha",104,114
"L1FLnI_13q22.3a",104,99
"L1FLnI_10p12.33a",103,76
"L1FLnI_16q12.1n",102,150
"L1FLnI_3q25.33h",99,53
"L1FLnI_5q14.1f",99,29
"L1FLnI_2q14.3ha",99,104
"L1FLnI_15q22.2a",98,210
"L1FLnI_11p15.3c",98,81
"L1FLnI_4q12eb",97,103
"L1FLnI_1p12s",97,32
"L1FLnI_Xq11.2v",97,220
"L1FLnI_4q27u",96,272
"L1FLnI_8q23.1b",95,1
"L1FLnI_9q31.1d",94,29
"L1FLnI_19q13.31d",94,179
"L1FLnI_1q24.2f",93,63
"L1FLnI_7q21.13t",93,4
"L1FLnI_11p15.2f",92,448
"L1FLnI_11q13.5c",92,67
"L1FLnI_3q23f",91,99
"L1FLnI_2q33.1s",90,1
"L1FLnI_4q31.21q",90,24
"L1FLnI_4p16.3a",90,11
"L1FLnI_1q25.1k",90,33
"L1FLnI_9q22.32d",89,48
"L1FLnI_6q22.1ka",88,128
"L1FLnI_7p21.1k",86,5
"L1ORF2_4p15.32",85,23
"L1FLnI_16p12.2b",84,51
"L1FLnI_1q21.2f",84,91
"L1FLnI_17q21.31",82,44
"L1FLnI_15q21.3aa",82,104
"L1FLnI_3q13.2m",82,67
"L1FLnI_4p14p",82,60
"L1FLnI_5p13.3l",82,62
"L1FLnI_7q34a",81,109
"L1FLnI_4q24qa",80,66
"L1FLnI_13q14.2u",80,66
"L1FLnI_Xq28xa",80,75
"L1FLnI_2q37.1e",79,1593
"L1FLnI_14q22.3j",78,73
"L1FLnI_Xq25ec",76,58
"L1FLnI_4q31.3a",75,86
"L1FLnI_8q24.22g",75,157
"L1FLnI_2q32.2g",75,66
"L1FLnI_12q12db",75,83
"L1FLnI_4p15.31r",74,95
"L1FLnI_5q13.3h",74,273
"L1FLnI_1q24.3l",73,259
"L1FLnI_11q12.1t",73,3
"L1FLnI_1q21.1c",73,49
"L1FLnI_6q22.1ca",70,140
"L1FLnI_6q27u",70,78
"L1FLnI_4q24sa",70,32
"L1FLnI_Yp11.2gb",69,21
"L1FLnI_15q26.1c",69,207
"L1FLnI_Xp11.21ma",67,10
"L1FLnI_15q13.1a",67,86
"L1FLnI_15q13.2c",66,173
"L1FLnI_9q31.1c",66,26
"L1FLnI_6q13m",66,192
"L1FLnI_8q11.21b",65,33
"L1FLnI_20q13.12e",65,833
"L1FLnI_7p12.1g",65,26
"L1FLnI_15q11.1f",65,75
"L1FLnI_12q13.2o",65,7
"L1FLnI_Yq11.21m",65,52
"L1FLnI_11p15.3h",64,60
"L1FLnI_14q23.1h",64,43
"L1FLnI_11p15.2m",63,68
"L1FLnI_19p12e",63,24
"L1FLnI_7q33i",63,9
"L1FLnI_12q23.1b",63,183
"L1FLI_16p12.3b",63,239
"L1FLnI_11q22.3z",63,18
"L1FLnI_8q22.2p",62,37
"L1FLnI_2p13.1a",62,109
"L1FLnI_10p12.31a",62,126
"L1FLnI_15q14b",62,35
"L1FLnI_22q11.23b",62,143
"L1FLnI_5q33.1b",62,74
"L1FLnI_12q12cb",61,79
"L1FLnI_18q21.33b",60,47
"L1FLnI_4q25na",60,88
"L1FLnI_5q14.3pb",59,0
"L1FLnI_3q13.33x",58,155
"L1FLnI_11q23.1b",57,10
"L1FLnI_19q13.2d",57,459
"L1FLnI_2q34ba",56,37
"L1FLnI_4q13.3bb",56,103
"L1FLnI_7q21.3a",56,77
"L1FLnI_5q13.2j",54,73
"L1FLnI_3q23w",54,61
"L1FLnI_13q12.11g",53,97
"L1FLnI_8q11.23o",52,2
"L1FLnI_2q33.3d",52,27
"L1FLnI_Xq11.2y",52,27
"L1FLnI_7q21.13u",51,22
"L1FLnI_2p23.3a",51,233
"L1FLnI_15q26.1a",51,7
"L1FLnI_12p13.31p",51,2
"L1FLnI_6q25.3i",51,8
