"transcript","MCF10A_norm","MDAMB_norm","log2FoldChange"
"L1FLnI_7p14.3n",1.02409479111634,0,-1.01727685498835
"L1FLnI_7p14.3t",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_7p14.1n",1.02409479111634,0,-1.01727685498835
"L1FLnI_7p13f",1.02409479111634,7.81177686811535,2.12215610857755
"L1ORF2_7p12.3",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_7p11.2k",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_7p11.2m",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_7q11.1d",1.02409479111634,10.7411931936586,2.53623026905414
"L1FLnI_7q11.21u",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_7q11.23c",1.02409479111634,0,-1.01727685498835
"L1FLnI_7q21.11r",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_7q21.11ha",1.02409479111634,0,-1.01727685498835
"L1FLnI_7q21.11sa",1.02409479111634,0,-1.01727685498835
"L1FLnI_7q21.2i",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLI_7q21.3",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_7q21.3d",1.02409479111634,0,-1.01727685498835
"L1FLnI_7q21.3n",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_7q21.3s",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_7q22.1f",1.02409479111634,12.6941374106874,2.7582096339075
"L1FLnI_7q31.1r",1.02409479111634,0,-1.01727685498835
"L1FLI_7q31.1a",1.02409479111634,11.717665302173,2.65148508614008
"L1FLnI_7q31.1z",1.02409479111634,0,-1.01727685498835
"L1FLnI_7q31.1ba",1.02409479111634,5.85883265108651,1.76068620073967
"L1ORF2_7q31.1",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_7q31.2d",1.02409479111634,0,-1.01727685498835
"L1FLnI_7q31.31g",1.02409479111634,0,-1.01727685498835
"L1FLnI_7q31.32n",1.02409479111634,9.76472108514419,2.41096217953493
"L1FLnI_7q32.2b",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_7q34j",1.02409479111634,0,-1.01727685498835
"L1FLnI_7q35m",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_7q35n",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_7q35r",1.02409479111634,23.4353306043461,3.59361986394437
"L1FLnI_7q36.1n",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_7q36.2a",1.02409479111634,0,-1.01727685498835
"L1FLnI_8p23.3b",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_8p23.3c",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_8p23.3h",1.02409479111634,10.7411931936586,2.53623026905414
"L1FLnI_8p23.2n",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_8p23.1c",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_8p21.2f",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_8p12x",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_8p11.23a",1.02409479111634,0,-1.01727685498835
"L1FLnI_8p11.21e",1.02409479111634,0,-1.01727685498835
"L1FLnI_8p11.21g",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q11.21y",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q12.1e",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_8q12.1ha",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_8q12.3s",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q12.3y",1.02409479111634,63.4706870534373,4.99329459802996
"L1FLnI_8q13.1f",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q13.1g",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q13.2e",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_8q13.2g",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_8q13.2n",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_8q21.12",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q21.13ma",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q21.3j",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_8q21.3u",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_8q21.3pa",1.02409479111634,9.76472108514419,2.41096217953493
"L1FLnI_8q22.1w",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q22.3t",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q23.1n",1.02409479111634,12.6941374106874,2.7582096339075
"L1FLnI_8q23.3g",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q23.3o",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q23.3x",1.02409479111634,62.4942149449228,4.97127639161891
"L1FLnI_8q23.3ba",1.02409479111634,0,-1.01727685498835
"L1FLnI_8q24.12a",1.02409479111634,17.5764979532595,3.19812978996866
"L1FLnI_8q24.21i",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_8q24.21o",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_8q24.22f",1.02409479111634,77.1412965726391,5.27073643377992
"L1FLnI_9p24.1d",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_9p24.1o",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_9p23t",1.02409479111634,0,-1.01727685498835
"L1FLnI_9p22.3i",1.02409479111634,0,-1.01727685498835
"L1FLnI_9p22.2e",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_9p21.3ea",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_9p21.2j",1.02409479111634,0,-1.01727685498835
"L1FLnI_9p21.1ca",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_9q21.11j",1.02409479111634,0,-1.01727685498835
"L1FLnI_9q21.13p",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_9q21.31c",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_9q21.31k",1.02409479111634,0,-1.01727685498835
"L1FLnI_9q21.33h",1.02409479111634,0,-1.01727685498835
"L1FLnI_9q21.33o",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_9q22.31c",1.02409479111634,14.6470816277163,2.95054484185978
"L1FLnI_9q22.31h",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLI_9q22.32",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_9q22.33c",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_9q22.33j",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_9q33.1p",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_9q33.2a",1.02409479111634,10.7411931936586,2.53623026905414
"L1FLnI_9q33.2d",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_10p15.3a",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_10p15.2",1.02409479111634,0,-1.01727685498835
"L1FLnI_10p15.1d",1.02409479111634,21.4823863873172,3.47344641809231
"L1ORF2_10p14",1.02409479111634,8.78824897662977,2.27377394368893
"L1FLnI_10p13e",1.02409479111634,0,-1.01727685498835
"L1FLnI_10p13h",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_10p12.31g",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_10p12.31k",1.02409479111634,0,-1.01727685498835
"L1FLnI_10p12.31m",1.02409479111634,0,-1.01727685498835
"L1FLnI_10p12.2j",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_10p12.1c",1.02409479111634,10.7411931936586,2.53623026905414
"L1FLI_10p11.22",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_10p11.1f",1.02409479111634,0,-1.01727685498835
"L1FLnI_10p11.1i",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_10q11.21q",1.02409479111634,0,-1.01727685498835
"L1FLnI_10q21.1ra",1.02409479111634,0,-1.01727685498835
"L1FLnI_10q21.1ta",1.02409479111634,0,-1.01727685498835
"L1FLnI_10q21.3ca",1.02409479111634,0,-1.01727685498835
"L1FLnI_10q22.3d",1.02409479111634,0,-1.01727685498835
"L1FLnI_10q22.3l",1.02409479111634,0,-1.01727685498835
"L1FLnI_10q23.31t",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_10q23.32g",1.02409479111634,0,-1.01727685498835
"L1FLnI_10q23.33h",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLI_10q24.2",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_10q25.1a",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_10q25.2b",1.02409479111634,8.78824897662977,2.27377394368893
"L1FLnI_10q25.2f",1.02409479111634,8.78824897662977,2.27377394368893
"L1FLnI_10q25.2h",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_10q26.12b",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_11p15.4z",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_11p15.2u",1.02409479111634,0,-1.01727685498835
"L1FLnI_11p15.1a",1.02409479111634,42.9647727746344,4.44099925231292
"L1FLnI_11p15.1i",1.02409479111634,0,-1.01727685498835
"L1FLnI_11p15.1w",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_11p14.3f",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_11p14.3m",1.02409479111634,0,-1.01727685498835
"L1FLnI_11p14.3ba",1.02409479111634,0,-1.01727685498835
"L1FLnI_11p14.3ja",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_11p14.1a",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_11p13h",1.02409479111634,0,-1.01727685498835
"L1FLnI_11p13j",1.02409479111634,0,-1.01727685498835
"L1FLnI_11p12x",1.02409479111634,158.188481579336,6.29731528518077
"L1FLnI_11p11.2i",1.02409479111634,0,-1.01727685498835
"L1FLnI_11p11.12j",1.02409479111634,0,-1.01727685498835
"L1FLnI_11q12.1i",1.02409479111634,0,-1.01727685498835
"L1FLnI_11q12.1j",1.02409479111634,0,-1.01727685498835
"L1FLnI_11q12.1m",1.02409479111634,11.717665302173,2.65148508614008
"L1FLnI_11q12.1s",1.02409479111634,0,-1.01727685498835
"L1FLnI_11q14.1c",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_11q14.1v",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_11q14.1ea",1.02409479111634,0,-1.01727685498835
"L1FLnI_11q14.3j",1.02409479111634,8.78824897662977,2.27377394368893
"L1FLnI_11q21k",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLI_11q21c",1.02409479111634,8.78824897662977,2.27377394368893
"L1FLnI_11q21y",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_11q22.1y",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_11q22.1aa",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_11q22.1ea",1.02409479111634,0,-1.01727685498835
"L1FLnI_11q22.1ma",1.02409479111634,8.78824897662977,2.27377394368893
"L1FLnI_11q22.1na",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLI_11q22.3",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_11q23.3m",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_11q24.3b",1.02409479111634,0,-1.01727685498835
"L1FLnI_12p13.2d",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_12p13.2i",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_12p12.3j",1.02409479111634,0,-1.01727685498835
"L1FLnI_12p12.3s",1.02409479111634,11.717665302173,2.65148508614008
"L1FLnI_12p12.3v",1.02409479111634,0,-1.01727685498835
"L1FLnI_12p12.1t",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_12p11.23d",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q11a",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q12f",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_12q12p",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_12q12u",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_12q12pa",1.02409479111634,8.78824897662977,2.27377394368893
"L1FLnI_12q13.11b",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q13.11d",1.02409479111634,9.76472108514419,2.41096217953493
"L1FLnI_12q13.2i",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q13.2m",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_12q14.1g",1.02409479111634,11.717665302173,2.65148508614008
"L1FLnI_12q14.2j",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q14.2l",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_12q15i",1.02409479111634,33.2000516894903,4.07864974548138
"L1FLnI_12q21.2b",1.02409479111634,9.76472108514419,2.41096217953493
"L1FLnI_12q21.2i",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q21.2q",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q21.2s",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q21.32a",1.02409479111634,10.7411931936586,2.53623026905414
"L1FLnI_12q21.32g",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q21.32v",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_12q21.33a",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q22b",1.02409479111634,9.76472108514419,2.41096217953493
"L1FLnI_12q22i",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q23.1e",1.02409479111634,9.76472108514419,2.41096217953493
"L1FLnI_12q23.1k",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_12q23.1x",1.02409479111634,0,-1.01727685498835
"L1FLnI_12q23.3j",1.02409479111634,9.76472108514419,2.41096217953493
"L1FLnI_12q23.3l",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_12q24.32f",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_13q12.13a",1.02409479111634,0,-1.01727685498835
"L1FLnI_13q12.3g",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLI_13q14.11b",1.02409479111634,3.90588843405768,1.27723757061897
"L1FLnI_13q14.13c",1.02409479111634,9.76472108514419,2.41096217953493
"L1FLnI_13q14.13d",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_13q14.2l",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_13q14.2n",1.02409479111634,0,-1.01727685498835
"L1FLnI_13q14.2s",1.02409479111634,0,-1.01727685498835
"L1FLnI_13q14.2z",1.02409479111634,7.81177686811535,2.12215610857755
"L1FLnI_13q21.33e",1.02409479111634,0,-1.01727685498835
"L1FLnI_13q22.1e",1.02409479111634,8.78824897662977,2.27377394368893
"L1FLnI_13q31.1na",1.02409479111634,0,-1.01727685498835
"L1FLnI_13q31.3k",1.02409479111634,6.83530475960093,1.95271253542285
"L1FLnI_13q31.3n",1.02409479111634,5.85883265108651,1.76068620073967
"L1FLnI_13q32.1h",1.02409479111634,4.8823605425721,1.53911835783911
"L1FLnI_13q33.1f",1.02409479111634,0,-1.01727685498835
