"","count_MCF10A","count_MDAMB436"
"L1FLnI_10q26.3e",7.95969711088628,5.92719377335159
"L1FLnI_5q35.2h",7.95147804954807,5.47844425903931
"L1FLnI_15q22.31a",7.93489810390558,7.11516883465993
"L1FLnI_1p31.3z",7.91812539495816,5.30861021573087
"L1FLnI_14q11.2d",7.90966534326152,3.82296712097201
"L1FLnI_7p15.3g",7.89259493572084,9.04509264391658
"L1FLnI_10q22.3h",7.89259493572084,6.8314650167307
"L1FLnI_6p12.3h",7.88398338476821,9.35963831588936
"L1FLnI_7p14.1m",7.87532012102308,1.77717837243201
"L1FLnI_22q11.1c",7.85783594439335,4.08636375790208
"L1FLnI_5q31.3b",7.84013726868699,7.09292252811145
"L1FLnI_2q12.2b",7.84013726868699,6.2422465611708
"L1FLnI_9p13.3e",7.84013726868699,5.94386420452023
"L1FLnI_2q24.1ma",7.79491667987126,6.89284509960896
"L1FLnI_1q32.3e",7.78569994579157,4.67145332711419
"L1FLnI_1q25.1o",7.7764239500151,6.34622411393386
"L1FLnI_12p13.33a",7.76708792550932,6.9762343624626
"L1FLnI_8p21.2p",7.75769109025261,6.64016759958194
"L1FLnI_5q31.3a",7.75769109025261,6.45488494579007
"L1FLnI_6q21m",7.71947945428281,4.78689733541076
"L1FLnI_11q23.2d",7.71947945428281,6.17323620453505
"L1FLnI_14q23.3p",7.68022810840238,5.52350790013058
"L1FLnI_13q14.11s",7.67024610684325,7.19392357903219
"L1FLnI_14q13.2",7.63987888530363,3.40655758966283
"L1FLnI_20p11.21a",7.63987888530363,9.90733897509574
"L1FLnI_7q32.1",7.62961274968692,5.80477198024467
"L1FLnI_2q33.1r",7.61927303493147,5.22921742629305
"L1FLnI_Xq22.1la",7.61927303493147,6.8842347996616
"L1FLnI_5q14.1h",7.60885867868086,4.92770619928086
"L1FLnI_7q31.33h",7.60885867868086,5.63036585988601
"L1FLnI_1p13.2m",7.59836859540269,6.94345479746356
"L1FLnI_18p11.21k",7.59836859540269,6.84039512316077
"L1FLnI_5q15c",7.59836859540269,5.8585156777126
"L1FLnI_16q12.1d",7.58780167570952,5.25617042230771
"L1FLnI_2q31.2g",7.57715678565466,-0.451890008743207
"L1FLnI_12q13.11y",7.57715678565466,7.27520162256886
"L1FLnI_Xq25q",7.54474256993588,7.4545657201972
"L1FLnI_5q15n",7.54474256993588,4.71097162499218
"L1FLnI_Yp11.2v",7.53377394163915,5.35920935727676
"L1FLnI_1q24.2j",7.53377394163915,5.28262873752586
"L1FLnI_4p13e",7.53377394163915,5.99274967807781
"L1FLnI_3p21.2m",7.52272127831423,6.32092391690898
"L1FLnI_1q25.1i",7.52272127831423,5.20175088417922
"L1FLnI_6q22.1ha",7.52272127831423,-0.451890008743207
"L1FLnI_10q11.21u",7.52272127831423,4.58900707674248
"L1FLnI_9p11.2d",7.50035862572512,5.7864029520531
"L1FLnI_21q22.3b",7.48904594935433,7.5610407132141
"L1FLnI_6q16.2d",7.48904594935433,6.04003241308669
"L1FLnI_6q22.1v",7.48904594935433,5.67098625910136
"L1FLnI_2q31.1s",7.47764386180409,5.38385822206627
"L1FLnI_6q13f",7.47764386180409,5.94386420452023
"L1FLnI_14q24.1e",7.46615093841369,5.50115211365373
"L1FLnI_15q25.1a",7.46615093841369,5.80477198024467
"L1FLnI_2p23.1c",7.4545657201972,7.28177253775862
"L1FLnI_4q26qa",7.44288671273178,4.58900707674248
"L1FLnI_14q22.1c",7.44288671273178,6.48935936917934
"L1FLnI_3p14.3l",7.39520159548653,5.7864029520531
"L1FLnI_4q12ab",7.39520159548653,2.95554129427102
"L1FLnI_15q21.2m",7.38302990141623,5.91032840330931
"L1FLnI_10q24.1b",7.38302990141623,5.22921742629305
"L1FLnI_Xq13.3fa",7.35837403088378,6.2422465611708
"L1FLnI_2q11.2b",7.3458862528153,6.04003241308669
"L1FLnI_10q25.3l",7.3458862528153,7.0318652113122
"L1FLnI_Xq13.1ja",7.33328943324596,6.48935936917934
"L1FLnI_5q12.3j",7.32058165103965,6.13018742659851
"L1FLnI_4q13.2o",7.29482525621056,7.60885867868086
"L1FLnI_4q28.2l",7.29482525621056,9.10930148302154
"L1FLnI_1q25.1m",7.29482525621056,8.59028674477985
"L1FLnI_Xq22.3ba",7.28177253775862,7.99611420321731
"L1FLnI_5q21.1l",7.28177253775862,5.35920935727676
"L1FLnI_7p14.2e",7.28177253775862,6.84039512316077
"L1FLnI_7p21.1g",7.25530736969186,5.63036585988601
"L1FLnI_Yp11.2h",7.25530736969186,5.74894773937613
"L1FLnI_2q21.3e",7.22834760805289,5.14519610760484
"L1FLnI_1q24.2k",7.22834760805289,5.28262873752586
"L1FLnI_Xq26.3h",7.21467640905333,7.62445215556342
"L1FLnI_2q14.1ha",7.21467640905333,6.3587097267622
"L1FLnI_13q22.3a",7.21467640905333,6.15902889157178
"L1FLnI_10p12.33a",7.20087441290028,5.7864029520531
"L1FLnI_16q12.1n",7.1869390925075,6.74850437397038
"L1FLnI_3q25.33h",7.14430678805444,5.28262873752586
"L1FLnI_5q14.1f",7.14430678805444,4.45574862133805
