Locus,GSK_rep1,GSK_rep2,LLY_rep1,LLY_rep2
L1FLnI_1p34.2b,1810.942508,803.2432126,2027.978647,668.4048595
L1FLnI_16p12.2b,1765.975538,3019.249487,1652.21457,2796.07529
L1FLnI_2q11.2e,1765.975538,996.9665756,2441.03229,1127.614305
L1FLnI_1p32.3h,1749.623913,1762.410108,1339.55591,1454.163244
L1FLnI_8p21.2m,1721.008568,1285.18914,1348.161194,1561.312114
L1FLnI_Xq21.1pc,1676.041599,1748.235227,1546.082731,1739.893565
L1FLnI_11q22.2a,1663.77788,2324.680356,2268.926606,2234.819301
L1FLnI_1q42.12a,1663.77788,1289.9141,2733.611953,1535.800479
L1FLnI_15q23j,1663.77788,3038.149328,2406.611153,3408.354551
L1FLnI_6q22.1v,1655.602067,996.9665756,559.3434742,1137.818959
L1FLnI_10q23.31a,1631.074629,1322.988821,1853.004535,1484.777207
L1FLnI_22q12.1c,1618.81091,1847.459389,1173.187082,1801.121492
L1FLnI_11q14.1s,1586.107659,1658.460986,2392.269013,1709.279602
L1FLnI_Xq21.1oc,1586.107659,1956.133471,1465.766745,2245.023955
L1FLnI_16q12.1n,1577.931846,1530.887064,1775.556977,1632.744695
L1FLnI_11p15.2f,1573.84394,1625.386265,1325.21377,1627.642368
L1FLnI_1q42.2c,1545.228596,2291.605636,1712.451559,2561.36824
L1FLnI_5q13.3b,1541.140689,2367.204997,2185.742191,2194.000684
L1FLnI_6q14.2j,1541.140689,1800.209788,1772.688549,2051.135523
L1FLnI_20p11.21u,1520.701158,850.4928133,998.2129693,653.0978779
L1FLnI_1q42.12b,1516.613251,968.6168152,1591.97758,1066.386379
L1FLnI_8q21.3da,1512.525345,1441.112823,1282.187349,1357.219028
L1FLnI_12p13.33a,1483.910001,1724.610427,1253.503068,1734.791238
L1FLnI_1q44b,1475.734188,793.7932924,1574.767012,1045.97707
L1FLnI_1q31.2m,1455.294656,2527.85364,1457.161461,2398.093771
L1FLnI_11p12ma,1430.767218,670.9443305,1256.371496,739.8374399
L1FLnI_1p22.2q,1406.23978,1237.939539,1253.503068,1071.488706
L1FLnI_5q31.1d,1377.624436,1110.365617,1373.977047,1367.423682
L1FLnI_8q23.1y,1373.53653,2272.705796,1870.215103,3000.168377
L1FLnI_6q24.2j,1357.184904,1299.36402,1147.371229,1301.093429
L1FLnI_Xq26.3h,1353.096998,1601.761465,1210.476647,1510.288843
L1FLnI_9p11.2f,1332.657466,1705.710587,1379.713903,1627.642368
L1FLnI_9p21.1w,1328.56956,770.1684921,1322.345342,744.939767
L1FLnI_14q12ya,1328.56956,2702.677162,1898.899384,2995.06605
L1FLnI_5q22.1j,1291.778403,996.9665756,596.6330391,984.7491441
L1FLnI_6q14.1b,1275.426777,774.8934522,1239.160927,811.2700203
L1FLnI_4p15.31r,1275.426777,1228.489619,1230.555643,1112.307323
L1FLnI_1q44c,1275.426777,789.0683324,1583.372296,913.3165637
L1FLnI_3q13.33x,1271.338871,1455.287703,1706.714703,1693.972621
L1FLnI_1q42.2b,1259.075152,1237.939539,1173.187082,1428.651608
L1FLnI_16p12.3b,1250.899339,935.5420947,1184.660794,887.8049278
L1FLnI_5p13.3x,1250.899339,1119.815538,1709.583131,1377.628336
L1FLnI_1q24.3l,1238.63562,1001.691536,1356.766478,1148.023614
L1FLnI_Xq26.2a,1218.196089,1478.912503,1127.292233,1398.037645
L1FLnI_5q31.1l,1218.196089,1507.262264,1147.371229,1607.233059
L1FLnI_9p21.3i,1214.108182,1691.535707,1276.450492,2137.875085
L1FLnI_5q33.1b,1205.93237,1077.290897,1130.160661,1071.488706
L1FLnI_15q21.2m,1201.844463,930.8171346,1394.056043,1229.660848
L1FLnI_12p13.2d,1197.756557,746.5436917,1133.029089,785.7583844
L1FLnI_2q35h,1193.668651,1242.664499,1075.660527,1010.26078
L1FLnI_5p13.1r,1177.317025,1460.012663,1133.029089,1648.051676
L1FLnI_13q31.3m,1169.141213,595.3449693,1196.134506,668.4048595
L1FLnI_9p21.1la,1169.141213,1285.18914,920.7654113,1341.912046
L1FLnI_1p22.2r,1156.877494,1223.764659,1003.949825,1045.97707
L1FLnI_11q13.5b,1152.789587,2305.780516,1067.055243,2015.419233
L1FLnI_9p21.3f,1148.701681,373.2718459,1526.003735,454.1071183
L1FLnI_8q11.21f,1148.701681,1639.561146,915.0285552,1377.628336
L1FLnI_5q15z,1140.525868,2078.982433,1726.7937,2265.433264
L1FLnI_2p23.3a,1132.350056,1417.488022,981.0024009,1153.125941
L1FLnI_19q11c,1132.350056,1082.015857,1124.423805,898.0095822
L1FLnI_7q32.3a,1132.350056,1209.589779,1092.871096,1081.69336
L1FLnI_2q22.3d,1132.350056,1195.414899,1064.186815,1316.40041
L1FLnI_1p11.2g,1132.350056,1445.837783,929.3706956,1454.163244
L1FLnI_5q15o,1128.262149,1100.915697,929.3706956,1091.898015
L1FLnI_6q16.3c,1124.174243,1289.9141,1046.976247,1392.935318
L1FLnI_7q32.1,1124.174243,3586.244696,1276.450492,3352.228952
L1FLnI_13q14.11g,1124.174243,1374.963382,975.2655447,1392.935318
L1FLnI_22q11.23b,1120.086337,1219.039699,811.7651446,974.5444897
L1FLnI_7p21.1k,1095.558899,869.3926536,1026.89725,627.5862421
L1FLnI_10q22.3h,1083.29518,2031.732832,1044.107818,2000.112251
