"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","transcript","LLY_norm","GSK_norm"
9789.83428113151,-0.0312886431569055,0.433358795549884,-0.0722003187155893,0.942442491539075,0.999999359719567,"L1FLnI_10p11.22u",9684.14770003173,9895.52086223128
4823.64142640237,0.0843168186947317,0.504843426562335,0.167015780058534,0.867357632628133,0.999999359719567,"L1FLnI_12q13.11a",4964.88211815727,4682.40073464747
3481.61465938253,-0.045682995281387,0.463798354702761,-0.0984975363068381,0.921537228190543,0.999999359719567,"L1FLnI_12q23.3d",3427.05185830301,3536.17746046204
3975.60682265841,0.213384111863582,0.429881763086923,0.496378609623492,0.619627313812185,0.999999359719567,"L1FLnI_Xq13.1a",4269.31417129026,3681.89947402656
4319.39896847866,0.364002933326862,0.434522506656618,0.837707892573021,0.402194779651039,0.999999359719567,"L1FLnI_Xq23d",4861.38120816535,3777.41672879198
4525.17259783248,0.163288723122994,0.549245085438401,0.297296648531064,0.766240040124502,0.999999359719567,"L1FLnI_Xq13.3pa",4781.25754722083,4269.08764844412
2179.92344440898,-0.100890693750255,0.434218164097325,-0.232350237950068,0.816265995655096,0.999999359719567,"L1FLnI_14q32.12f",2104.40485014189,2255.44203867606
1635.46334970468,-0.100350362445937,0.384359298275404,-0.26108477899768,0.794027129313454,0.999999359719567,"L1FLnI_3q21.1c",1578.93919601066,1691.98750339871
3148.06491182067,0.443831382488679,0.491966035936051,0.902158584269364,0.366972631831043,0.999999359719567,"L1FLnI_6p22.3e",3628.4755129007,2667.65431074063
1908.15090110077,0.418432300524037,0.384461185875079,1.08836032321868,0.276436069707837,0.999999359719567,"L1FLnI_2q32.1f",2182.91724956702,1633.38455263453
1617.46563832199,0.212273291924818,0.412153266997907,0.515034840002604,0.606528674349074,0.999999359719567,"L1FLnI_8q24.12o",1736.65471015602,1498.27656648796
1447.6728926542,-0.00452388073231711,0.38947094403626,-0.0116154511693071,0.990732419240719,0.999999359719567,"L1FLnI_Xq28sa",1445.6354633033,1449.71032200511
1935.75005376825,-0.0807128987706462,0.486133696280193,-0.166030249267324,0.868133145066121,0.999999359719567,"L1FLnI_8q23.1b",1881.91274401262,1989.58736352388
897.206177605143,-0.23908839656584,0.404994968365352,-0.59034905428789,0.554956658397534,0.999999359719567,"L1FLnI_9q22.32c",823.292757307104,971.119597903182
1177.51309734482,0.0829563380293952,0.397343537170784,0.20877736837013,0.8346220394358,0.999999359719567,"L1FLnI_18q21.32b",1211.68681620426,1143.33937848538
1794.63190057599,0.299328907007054,0.467687201738085,0.640019452947709,0.522159952625999,0.999999359719567,"L1FLnI_1p31.1rc",1980.21455574417,1609.04924540781
1273.44271820721,0.254652991355921,0.413878999560059,0.615283673795023,0.538367397524074,0.999999359719567,"L1FLnI_6q24.2g",1385.83941102179,1161.04602539264
1263.9346301772,0.141607807218836,0.421756890071351,0.335756950395948,0.737054156001018,0.999999359719567,"L1FLnI_6q25.3e",1326.16708111138,1201.70217924303
1037.25716988871,-0.0304629217758654,0.414943133502705,-0.0734146906317389,0.941476127707503,0.999999359719567,"L1FLnI_1q24.3e",1026.79691465788,1047.71742511954
1320.82154104934,0.000802643312637539,0.475403996768201,0.00168833942939881,0.99865290067587,0.999999359719567,"L1FLnI_6q21f",1321.56455162779,1320.0785304709
1505.42121607521,-0.0645676709800053,0.517992366808541,-0.124649850301502,0.900800761294124,0.999999359719567,"L1FLnI_1p22.1d",1472.0985388801,1538.74389327032
1249.82757824898,0.17427645360311,0.410666201396412,0.424374961977653,0.671292377789497,0.999999359719567,"L1FLnI_4q35.2k",1325.21808315391,1174.43707334405
1059.45046956138,0.0567961350782454,0.397813886651832,0.142770619588636,0.886471341506614,0.999999359719567,"L1FLnI_12p13.32g",1080.52239312125,1038.37854600152
1136.7462811839,-0.116454428722323,0.456782485109686,-0.254945039528736,0.798765548826438,0.999999359719567,"L1FLnI_5q33.1a",1091.31127397321,1182.18128839459
864.415905573647,0.0177240892806374,0.380240321161738,0.0466128611150061,0.962821781485789,0.999999359719567,"L1FLnI_20q13.13",869.919305402901,858.912505744392
801.688027896604,-0.00693883701488641,0.381619128751411,-0.0181826237002035,0.985493164624623,0.999999359719567,"L1FLnI_8p23.1h",799.902834147275,803.473221645933
647.593819177194,-0.23192663822198,0.40766460112537,-0.568915322992824,0.569413606108554,0.999999359719567,"L1FLnI_3q26.32p",595.718754613124,699.468883741263
764.344617146486,-0.147055797432896,0.381930065358579,-0.385033310469631,0.700212736313221,0.999999359719567,"L1FLnI_6q15i",725.599086749374,803.090147543598
736.695021579173,0.0446004868346056,0.384585890534425,0.115970158896438,0.907676191938526,0.999999359719567,"L1FLnI_Xq23ab",747.912684408659,725.477358749686
594.923826535182,-0.381865351065904,0.400723685018826,-0.952939307912293,0.340620822437296,0.999999359719567,"L1FLnI_20p11.23d",517.12773107295,672.719921997414
905.255236248907,0.159013678410461,0.389193998769101,0.40857176347367,0.682853955938207,0.999999359719567,"L1FLnI_9p11.2d",955.086240523113,855.4242319747
629.72362536749,-0.0342723732450948,0.410930985772325,-0.0834017740976176,0.933532077902545,0.999999359719567,"L1FLnI_Xq23bb",622.062447467712,637.384803267268
647.891276737053,-0.149359729627432,0.391149191579868,-0.38184849372732,0.702573746502597,0.999999359719567,"L1FLnI_13q34a",614.760803375532,681.021750098575
944.599594730008,0.192183319810336,0.412580595645386,0.465807945983766,0.641352976925335,0.999999359719567,"L1FLnI_5p13.2v",1007.5200504573,881.679139002717
821.255671051968,-0.0313723324901713,0.407838143627497,-0.0769234878599917,0.938684412295187,0.999999359719567,"L1FLnI_1q32.2g",812.514691971087,829.99665013285
881.651672553471,0.314707011387119,0.401710165103748,0.7834180927581,0.43338163492482,0.999999359719567,"L1FLnI_19q13.11a",977.517062282256,785.786282824686
628.067347316578,0.0808078406023692,0.384366770935719,0.210236281366485,0.833483263843793,0.999999359719567,"L1FLnI_4q31.1e",645.75752052563,610.377174107526
920.576637961253,-0.108372251198799,0.468000576705717,-0.231564353962206,0.816876396407633,0.999999359719567,"L1FLnI_14q11.2j",886.274501622287,954.878774300219
609.22007257859,0.0892679848193323,0.385878459139522,0.231337051097366,0.817052964618585,0.999999359719567,"L1FLnI_5p12k",628.235457459337,590.204687697843
1004.63714556614,0.182946230923159,0.473319440065573,0.386517466719334,0.699113469226684,0.999999359719567,"L1FLnI_10p12.33a",1068.44292305128,940.831368080996
667.488437263792,-0.0326377799495668,0.415645949505529,-0.0785230314126583,0.937412010365058,0.999999359719567,"L1FLnI_2q11.1b",660.396148357079,674.580726170505
449.969786454625,-0.146239635721774,0.464245198286434,-0.315005165937216,0.752757731550747,0.999999359719567,"L1FLnI_10q22.2e",426.955732119196,472.983840790053
911.735597792981,0.145156808023537,0.473707349770125,0.306427181452804,0.75927941528778,0.999999359719567,"L1FLnI_6q22.1ka",957.81601029564,865.655185290323
746.455989185908,-0.0228323278999655,0.460746811857506,-0.0495550426229033,0.960476973373792,0.999999359719567,"L1FLnI_3q13.33d",741.006364322473,751.905614049343
753.809946860182,0.129279768492412,0.422998935662286,0.305626699249255,0.759888889525153,0.999999359719567,"L1FLnI_14q11.2c",787.823364077307,719.796529643058
772.674088239162,-0.129216563270032,0.453958021409339,-0.284644300080593,0.775916667991476,0.999999359719567,"L1FLnI_1q21.2f",738.385161756212,806.963014722112
723.199069118651,0.338751347391659,0.392313155372773,0.863471802442568,0.387878116331595,0.999999359719567,"L1FLnI_1q32.1k",807.344067848111,639.054070389191
