Gene_ID	DMSO_rep1	DMSO_rep2	GSK_rep1	GSK_rep2
NEU1	4548	5093	4018	4240
VARS1	30131	30190	32067	31695
VWA7	153	210	123	130
SAPCD1-AS1	35	27	33	18
SAPCD1	0	0	0	0
RNU6-850P	0	0	0	0
MSH5	3	9	19	25
MSH5-SAPCD1	0	0	0	0
CLIC1	15088	15685	25678	28024
DDAH2	183	225	161	258
MPIG6B	0	2	0	5
LY6G6C	4	6	3	25
LY6G6D	0	0	0	0
LY6G6E	0	0	0	0
LY6G6F	0	0	0	0
LY6G6F-LY6G6D	0	0	0	0
MIR4646	2	0	1	0
LOC105375018	20	20	15	8
ABHD16A	3325	3472	2794	3367
LOC105375019	0	0	2	0
LY6G5C	35	48	32	25
LY6G5B	626	871	1335	1328
CSNK2B	6723	6876	6139	8027
GPANK1	914	1084	1144	1141
C6orf47	2049	2465	1611	1873
APOM	159	214	173	131
BAG6	28245	31970	27549	30420
MIR6832	18	12	15	6
SNORA38	22	41	47	46
PRRC2A	47405	48354	43063	51794
AIF1	0	0	1	0
UQCRHP1	0	0	0	0
NCR3	0	0	0	0
LST1	0	0	0	0
LTB	10	22	22	40
TNF	4	23	18	20
LTA	34	46	22	42
LOC100287329	0	0	1	0
NFKBIL1	2659	2940	1590	1815
ATP6V1G2	10	18	23	20
DDX39B-AS1	22	21	11	12
SNORD84	117	118	133	136
SNORD117	32	43	46	25
DDX39B	0	0	0	0
ATP6V1G2-DDX39B	7	15	48	47
MCCD1	2	0	0	0
RPL15P4	0	0	0	0
PPIAP9	0	1	0	0
MICB	622	801	1915	1928
MICB-DT	43	56	50	77
HCG26	55	94	9	23
HCP5	1079	1527	280	439
HLA-X	0	2	0	2
LINC01149	0	0	4	12
MICA	1230	1366	2234	2521
MICA-AS1	198	237	182	172
LOC124901300	0	0	0	0
LOC105379664	0	0	0	0
RNU6-283P	0	0	0	0
DHFRP2	0	0	0	0
MIR6891	0	0	0	0
HLA-B	18621	24414	6995	8090
LINC02571	0	0	0	0
WASF5P	0	0	0	0
RPL3P2	62	97	75	88
USP8P1	5	5	7	12
HLA-C	24930	29379	15647	16755
HCG27	17	25	25	32
PSORS1C3	75	147	245	210
POU5F1	127	115	241	263
TCF19	297	548	1982	2012
RNU6-1133P	0	0	0	0
HCG22	0	4	0	0
MUC22	0	8	2	2
LINC00243	22	22	4	18
HCG20	2	4	4	2
RN7SL353P	0	0	0	0
IER3	5667	4559	16446	15972
IER3-AS1	76	32	130	170
FLOT1	6489	7256	2961	3578
TUBB	22551	29365	68583	76958
MDC1-AS1	31	17	81	84
MDC1	1910	3069	5987	7183
LOC107987457	0	0	0	0
DHX16	4133	4678	4830	5517
C6orf136	937	1098	801	1013
PTMAP1	8	12	7	16
ATAT1	234	241	361	387
MRPS18B	10500	10987	6787	7046
PPP1R10	13040	13983	12734	13914
MIR877	0	0	0	0
ABCF1	9059	10315	9194	11646
PRR3	923	1009	1061	1264
GNL1	7090	7260	5561	6295
LINC02569	29	39	16	12
HLA-E	21427	26131	10841	13582
RANP1	166	219	240	284
SUCLA2P1	1	1	0	0
LOC105375012	0	0	0	2
MICC	0	0	0	0
UBQLN1P1	0	0	0	4
HLA-N	0	0	0	0
RPP21	3	2	0	1
TRIM39-RPP21	0	0	0	0
TRIM39	761	751	676	900
HCG18	5975	6110	2742	3396
HLA-L	50	61	78	86
HCG17	50	29	26	17
PAIP1P1	157	118	88	96
TRIM26	8569	7999	10460	11683
TRIM15	85	55	64	58
TRIM10	5	4	4	4
TRIM40	0	2	13	8
LOC124900227	0	0	0	0
TRIM31-AS1	16	8	7	8
TRIM31	2	2	0	4
RNF39	694	1004	431	438
PPP1R11	3553	3980	1922	2239
POLR1H	1896	1590	1514	1498
ETF1P1	0	0	2	0
HLA-J	15	22	1	11
HCG4P3	61	78	29	26
ZNRD1ASP	538	497	257	325
LOC353007	14	21	10	7
MCCD1P2	2	11	5	0
DDX39BP2	6	6	0	0
HCG9	14	7	2	15
MICD	52	34	35	32
HLA-A	18697	20427	11088	11649
HLA-K	5	8	68	43
HCG4B	37	31	14	16
LOC353008	17	9	2	3
MCCD1P1	15	12	0	8
DDX39BP1	2	0	0	0
HLA-H	156	127	177	206
HCP5B	6	4	0	2
MICF	0	2	0	0
LOC105375010	12	2	2	3
HCGVIII-2	0	1	2	0
HLA-G	0	0	0	0
MICG	0	0	0	0
RPL7AP7	0	0	0	0
HLA-P	3	0	0	1
HCG4P9	0	0	0	2
HLA-V	94	93	302	269
HCG4	77	57	74	52
LOC353010	0	0	0	0
LOC105379663	0	0	0	0
IFITM4P	15	11	18	17
HCG9P5	0	0	0	1
MICE	176	137	546	465
HLA-F-AS1	159	163	245	239
RPL23AP1	0	0	1	2
HLA-F	2119	3102	867	1174
ZDHHC20P1	0	0	2	7
ZFP57	2	6	41	55
MOG	0	0	0	0
SUMO2P1	317	496	276	564
GABBR1	1478	1644	1270	1322
OR2I1P	0	0	0	6
GPR53P	0	0	0	0
LINC01015	0	0	0	0
LINC02829	0	0	0	0
RPS17P1	0	0	0	0
MAS1L	0	0	0	0
LOC124905400	0	0	0	0
LOC105375008	0	0	0	0
MAS1LP1	0	0	0	0
UBDP1	0	0	0	0
OR2H1	0	0	0	0
OR10C1	0	0	0	0
OR11A1	0	0	0	0
OR12D1	0	0	0	0
OR12D2	0	0	0	0
OR12D3	0	0	0	0
OR5V1	0	0	0	0
DDX6P1	0	0	0	0
OR14J1	0	0	0	0
OR2B4P	0	0	0	0
LOC105375005	0	0	0	0
OR2U2P	0	0	0	0
OR2U1P	0	0	0	0
OR2G1P	0	0	0	0
LINC03003	0	0	0	0
OR2H4P	0	0	0	0
OR2J4P	0	0	0	0
OR2J2	0	0	0	0
OR2N1P	0	0	0	0
OR2J3	0	0	0	0
OR2J1	0	0	0	0
OR2B3	0	0	0	0
SAR1AP1	0	0	0	0
OR2P1P	0	0	0	0
OR2W1	0	0	0	0
OR2W1-AS1	0	0	0	0
OR2AD1P	0	0	0	0
LOC105375002	0	0	0	0
ZNF311	343	325	133	216
TRL-AAG3-1	8	9	11	3
HCG15	112	87	109	100
TRE-CTC1-6	0	0	0	0
TRF-GAA1-2	0	0	0	0
RN7SL471P	908	676	2122	1581
KRT18P1	0	1	0	0
TRM-CAT3-2	0	0	0	0
TRK-TTT3-3	0	4	0	0
TRM-CAT3-1	0	0	0	0
LINC01556	2	12	10	8
TRL-AAG2-2	0	0	0	0
TRQ-CTG1-3	0	0	0	0
TRL-CAA1-2	4	2	0	0
RNU6-930P	0	0	0	0
TRIM27	8281	8375	8465	8910
HCG14	1	5	0	3
TRL-CAA1-1	0	4	2	10
ZNF90P2	0	0	0	0
TRR-CCG1-2	0	0	0	2
TRA-AGC2-2	0	0	0	0
RPL13P	0	0	0	0
LINC01623	0	0	0	0
TRA-AGC2-1	0	0	0	0
TRF-GAA4-1	0	0	0	0
TRA-TGC5-1	2	1	2	8
TRA-AGC6-1	0	0	2	0
TRF-GAA3-1	0	1	0	0
TRA-TGC7-1	14	12	18	54
LOC124901504	0	0	0	0
TRA-AGC1-1	0	2	0	0
TRF-GAA1-1	0	0	0	0
TRA-TGC1-1	0	0	0	0
NOP56P1	0	0	0	0
TRA-AGC23-1	0	0	0	0
TRF-GAA5-1	0	0	0	1
TRF-GAA6-1	0	0	0	0
TRA-TGC6-1	0	2	3	0
TRK-TTT7-1	4	4	22	4
TRR-CCG1-1	23	6	104	27
TRV-AAC6-1	2	2	0	2
RPSAP2	0	0	0	0
TRA-CGC4-1	0	0	3	5
TRF-GAA11-1	0	0	0	0
TRT-AGT3-1	2	0	6	12
TRA-AGC7-1	0	0	2	10
TRA-AGC5-1	0	1	2	8
TRK-TTT13-1	0	0	0	0
LOC100288016	0	4	8	2
LOC105374297	2	1	3	1
SDHAP2	1337	1343	1039	1164
MIR570	105	115	79	92
SMBD1P	933	938	292	420
MIR570HG	85	121	50	53
LOC124905401	0	0	0	0
MUC20	138	187	28	51
MUC4	14	22	4	21
LOC112268340	0	0	0	0
LOC124905399	0	0	0	0
LYPLA2P1	3	6	10	3
MYL12BP3	0	0	0	0
DAXX	4020	4892	5095	5842
ZBTB22	2239	2693	1142	1151
TAPBP	19351	21548	12393	15025
RGL2	3242	3142	5010	5603
MIR6834	0	0	0	0
PFDN6	796	1185	937	1161
MIR6873	0	0	0	0
WDR46	4145	4601	3355	3910
B3GALT4	85	76	51	71
LOC105375022	104	124	139	116
RING1	2286	2754	1582	1887
MIR219A1	3	1	0	8
HSD17B8	690	763	262	231
SLC39A7	6004	6657	6813	8016
RNY4P10	0	0	2	1
RXRB	4877	5367	4321	4101
HCG24	0	0	0	0
LOC105375021	0	0	0	1
LOC124905396	0	0	0	0
MTCO3P1	0	0	0	0
RNU1-116P	0	0	0	0
HLA-DRB2	0	0	0	0
HLA-DRB3	0	0	0	0
LOC124905397	0	0	0	0
RNA5SP206	0	0	0	0
C4A	2601	3418	389	707
ZBTB12	515	501	270	411
SNORD52	84	82	99	105
SNORD48	20	18	45	61
SNHG32	12938	14297	7443	7711
HSPA1B	6116	7630	4977	5461
HSPA1A	3850	5790	4026	4596
HSPA1L	113	157	111	108
LSM2	1466	1788	2317	2698
LOC105375020	0	0	0	0
LOC105379656	0	0	0	0
CCHCR1	1427	1890	1666	1918
POLR2LP1	3	0	0	0
PSORS1C2	0	2	0	1
CDSN	32	50	32	35
PSORS1C1	91	133	89	97
C6orf15	2	0	0	0
MUC21	333	385	2	226
NAPGP2	0	0	0	0
HCG21	0	0	0	0
MUCL3	10	17	4	2
LOC124901299	4	7	4	2
SFTA2	0	0	0	6
VARS2	4500	4993	6579	6268
GTF2H4	2071	2380	2137	2311
MIR4640	12	16	17	6
DDR1	28325	37007	36149	41756
RN7SKP186	0	0	0	0
LINC02570	0	0	0	0
LOC124905395	0	0	0	0
RPL7P4	6	0	2	4
NRM	151	137	269	273
PPP1R18	5250	6360	8598	9506
TMPOP1	0	0	0	4
TRIM26BP	0	0	0	2
HLA-W	0	0	2	2
LOC124905394	0	0	0	0
LOC353009	6	8	0	0
LOC107987452	0	0	0	0
HCG4P11	0	0	8	0
OR2H2	4	0	0	2
RPL13AP	0	0	0	0
SNORD32B	0	0	0	0
TMEM183AP1	0	0	0	0
OR2H5P	0	0	0	0
UBD	2	0	10	32
LOC124905393	0	0	0	0
LOC105379641	0	0	0	0
LOC112268339	0	0	0	0
LOC124905398	0	0	0	0
LOC112268337	0	0	0	0
HLA-DQB1-AS1	0	0	0	0
FKBPL	456	555	390	483
ATF6B	6960	8576	5922	6924
LOC110384692	0	0	0	0
LOC112267902	0	0	0	0
HCG4P8	0	0	0	0
LOC107987447	0	0	0	0
LOC124901486	0	0	0	0
LOC124905392	0	0	0	0
LOC124905352	0	0	0	0
LOC112268336	0	0	0	0
LOC124901302	48	48	33	49
LOC124905389	0	0	0	0
LOC100294188	0	0	0	0
LOC112268335	0	0	0	0
LOC124905388	0	0	0	0
HLA-S	0	0	2	2
ZDHHC20P2	0	0	0	0
LOC124905390	0	0	0	0
LOC107987443	0	0	0	0
LOC124905387	0	0	0	0
LOC105374298	0	0	0	0
LOC124905391	0	0	0	0
TCF20	14223	15814	14084	17651
CYP2D8P	179	162	162	178
LOC105377203	90	126	61	57
CYP2D7	327	309	247	202
LOC102723722	0	0	0	0
CYP2D6	112	95	150	126
OLA1P1	319	349	302	340
NDUFA6-DT	137	168	85	87
NDUFA6	1903	2479	1400	2058
SMDT1	2907	3033	2002	2234
PHETA2	18	13	2	14
LOC107987441	0	0	0	0
LOC124905386	0	0	0	0
MUC2	39	39	803	1405
LOC107987157	18	12	96	135
LINC02688	0	0	0	0
LOC124905385	0	0	0	0
MUC6	12	5	4	3
AP2A2	14981	15642	10331	11496
RNU6-1025P	7	7	10	14
LOC105377779	0	0	0	0
MIR3674	0	4	3	4
CLN8	3927	4764	6080	6639
CLN8-AS1	611	687	401	418
LOC124905384	0	0	0	0
LOC105377778	0	2	2	5
LOC100130321	0	0	0	0
LOC124901870	0	0	0	0
DLGAP2	0	0	0	0
DLGAP2-AS1	0	0	4	0
LOC124905383	0	0	0	0
LOC124905382	0	0	0	0
LOC112267927	0	0	0	0
LOC100294160	0	0	0	0
LOC124905381	0	0	0	0
LOC124905380	0	0	0	0
LOC107987440	0	0	0	0
LOC124905379	0	0	0	0
LINC01596	0	0	0	0
LOC105377619	0	0	0	0
FRG1-DT	10	18	3	6
RNU1-51P	0	0	0	0
LOC105377616	14	40	6	28
LOC107987311	0	0	0	0
LINC01262	0	0	0	0
LOC105377615	0	0	0	0
HSP90AA4P	0	1	0	0
LOC105377614	0	0	0	0
KRT18P53	0	0	0	0
FABP5P13	0	0	0	0
LOC102723840	0	0	0	0
LOC124900588	0	0	0	0
LOC101929829	0	0	0	0
LOC107987438	0	0	0	0
LOC124905377	0	0	0	0
LOC124905378	0	0	0	0
LOC105372225	0	0	0	0
SALL3	0	0	0	0
LINC01896	0	0	0	0
LOC105372221	0	0	0	0
LOC105372220	0	0	0	0
LOC105372219	0	0	0	0
WNT9B	0	0	0	4
LOC101929777	0	0	0	0
WNT3	355	367	341	287
RPS7P11	2710	4072	2487	4721
LOC107985026	9	19	8	6
NSF	5126	4872	5269	5254
LOC124905375	0	0	0	0
RN7SL199P	0	0	0	2
LRRC37A2	268	328	396	304
ARL17A	950	856	731	769
RDM1P2	22	13	15	25
LOC124905376	0	0	0	0
LOC124904014	0	0	0	0
LOC100132570	15	18	26	21
DND1P2	0	0	2	0
MAPK8IP1P1	0	0	0	1
KANSL1-AS1	41	65	30	41
LOC107985027	324	270	186	197
KANSL1	9241	9826	7754	8795
STH	2	1	0	1
LOC105371800	0	0	0	0
MAPT-IT1	4	4	4	4
MAPT	392	574	209	229
SPPL2C	0	0	4	0
MAPT-AS1	0	0	0	0
CRHR1	0	0	0	0
LOC107985028	0	0	0	0
LOC105371802	0	0	0	0
ARF2P	487	445	365	394
LINC02210-CRHR1	0	0	1	0
LINC02210	638	656	456	394
RPS26P8	4	1	5	2
MAPK8IP1P2	2	3	0	4
DND1P1	66	72	30	37
RDM1P1	8	12	10	8
LOC102724345	102	96	68	83
LRRC37A4P	3555	4102	2279	2807
LOC112267925	0	0	0	0
LRRC37A3	683	571	341	492
LOC105369225	30	53	27	48
LOC124904113	15	0	0	0
MIR4315-1	0	0	0	0
PLEKHM1	5543	6728	5422	6013
ARHGAP27	5090	5257	7578	7425
LOC105371796	4	6	1	0
RNA5SP443	0	0	0	0
KRTAP9-12P	0	0	0	0
KRTAP9-2	0	0	0	0
KRTAP9-4	0	0	0	0
KRTAP9-9	0	0	0	0
KRTAP9-6	0	0	0	0
KRTAP9-11P	0	0	0	0
KRTAP9-7	0	0	0	0
KRTAP9-10P	0	0	0	0
KRTAP29-1	0	0	0	2
LOC124900636	0	0	0	0
TBC1D3I	37	0	0	0
LOC124900635	0	0	0	0
CCL4L1	0	0	0	0
CCL3L1	0	0	0	0
LOC124905374	0	0	0	0
CCL3P1	0	0	0	0
LOC124905373	0	0	0	0
TBC1D3G	29	34	43	56
LOC100420853	0	0	0	0
YWHAEP6	0	0	0	0
LOC105379635	0	0	0	0
CCL4L2	0	0	0	0
CCL3L3	0	0	0	0
TBC1D3B	0	3	3	0
LOC100420851	19	33	22	20
LOC100419980	0	0	0	6
LOC101927369	0	0	0	0
RN7SL301P	0	0	0	2
CCL4	0	2	0	4
CCL3	0	0	0	0
CCL18	0	0	0	0
MIR3183	2	3	0	2
LOC105371481	52	63	34	43
ABR	8404	9105	8627	9754
TIMM22	2699	2845	3224	3344
NXN	4236	4795	7059	7138
