DMSO_rep1	DMSO_rep2	GSK_rep1	GSK_rep2
HLA-DOA	0	0	8.50116175488503	7.60199076162317
BRD2	17852.6748283946	18730.8523061605	18199.9246719895	19616.9371603686
HLA-DMA	137.156334044689	105.953452886094	198.714656020438	150.139317542058
HLA-DMB	10.1597284477547	25.7724615128336	6.37587131616377	3.80099538081158
HLA-Z	5.07986422387737	6.681749281105	2.12529043872126	0.950248845202896
LOC100294145	899.135967626294	1128.26109289516	1197.60116221943	1288.53743409513
PPP1R2P1	1.01597284477547	1.90907122317286	4.25058087744251	2.85074653560869
PSMB9	1086.07497106498	1223.7146540538	635.461841177656	555.895574443694
TAP1	14165.7093747044	15477.7949418739	16004.4996487904	13681.6828732313
PSMB8-AS1	401.309273686312	483.94955507432	234.844593478699	229.009971693898
PSMB8	4684.65078725971	4969.31239391895	3651.24897372312	3625.19934444905
TAP2	15815.6492746198	15552.2487195777	14636.8752514733	12894.8768294033
HLA-DOB	138.172306889464	160.36198274652	193.401429923634	215.706487861057
HLA-DQB2	0	0	5.31322609680314	10.4527372972319
MIR3135B	0	0	0	0
HLA-DQA2	0	1.90907122317286	1.06264521936063	0
LOC102725019	0	0	0	0
HLA-DQB1	0	0	14.8770330710488	9.50248845202896
HLA-DQA1	0	0	0	0
HLA-DRB1	6.09583706865284	10.4998917274507	6.37587131616377	5.70149307121738
FAM8A5P	0	0	0	0
HLA-DRB7	0	0	0	0
LOC100294316	0	0	0	0
PRKRAP1	0	0	0	0
HLA-DRB8	0	0	0	0
HLA-DRB4	0	0	0	0
HLA-DRB9	0	0	0	0
RNU6-603P	0	0	0	0
HNRNPA1P2	0	3.81814244634572	0	0
TSBP1	0	0	0	0
NOTCH4	9.14375560297927	3.81814244634572	114.765683690948	99.7761287463041
GPSM3	13.2076469820812	11.4544273390371	20.1902591678519	17.1044792136521
PBX2	5646.77707126208	6467.93330410964	4964.67846485286	5459.17961569064
AGER	377.941898256476	314.996751823522	445.248346912103	391.502524223593
MIR6833	0	0	0	0
RNF5	2455.60636582232	2912.2881509502	2614.10723962715	2255.89075851168
MIR6721	0	0	0	0
AGPAT1	4939.65997129835	5345.399424884	4926.42323695587	4856.721847832
EGFL8	1.01597284477547	1.90907122317286	3.18793565808188	3.80099538081158
PPT2-EGFL8	25.3993211193868	32.4542107939386	13.8143878516882	8.55223960682607
PPT2	436.868323253454	569.857760117098	489.87944612525	404.806008056434
LOC100507547	64.0062892208549	103.089846051334	32.9420018001795	42.7611980341303
PRRT1	23.3673754298359	26.72699712442	6.37587131616377	19.9552257492608
TNXB	478.523209889248	346.496427005874	477.127703492922	472.273676065839
CYP21A2	91.4375560297927	235.770296061848	28.691420922737	41.8109491889274
C4B	2114.23948997776	2349.1121401142	291.164790104812	435.213971102926
STK19B	8.12778275820379	8.59082050427786	7.4385165355244	0
TNXA	4.0638913791019	3.81814244634572	10.6264521936063	5.70149307121738
CYP21A1P	112.772985770078	214.770512606947	53.1322609680314	80.7711518422462
C4B_2	0	0	0	0
STK19	966.190175381476	1219.89651160746	1115.77748032866	1126.04488156543
DXO	1853.13446887046	1819.34487568373	1989.2718506431	1915.70167192904
SKIV2L	10156.6805292204	9798.3080529347	9488.35916367105	8633.96100751352
MIR1236	0	0	0	0
NELFE	3935.87880066019	4049.14006434963	3557.73619441938	3911.22424685512
CFB	129357.726488192	153839.64091255	17555.9616690569	20572.8874986427
C2-AS1	10.1597284477547	1.90907122317286	2.12529043872126	5.70149307121738
C2	209.290406023748	193.770729152045	117.95361934903	93.1243868298838
EHMT2	6544.8970660436	7253.51611244527	7451.26827815673	7518.36886324531
EHMT2-AS1	138.172306889464	134.589521233686	181.712332510667	137.78608255442
SLC44A4	0	0	4.25058087744251	7.60199076162317
NEU1	4620.64449803886	4861.44986980968	4269.708491391	4029.05510366028
VARS1	30612.2777859298	28817.4301137943	34075.8442492373	30118.1371487058
VWA7	155.443845250648	200.45247843315	130.705361981357	123.532349876377
SAPCD1-AS1	35.5590495671416	25.7724615128336	35.0672922389007	17.1044792136521
SAPCD1	0	0	0	0
RNU6-850P	0	0	0	0
MSH5	3.04791853432642	8.59082050427786	20.1902591678519	23.7562211300724
MSH5-SAPCD1	0	0	0	0
CLIC1	15328.9982819724	14971.8910677331	27286.6039427422	26629.773637966
DDAH2	185.923030593912	214.770512606947	171.085880317061	245.164202062347
MPIG6B	0	1.90907122317286	0	4.75124422601448
LY6G6C	4.0638913791019	5.72721366951857	3.18793565808188	23.7562211300724
LY6G6D	0	0	0	0
LY6G6E	0	0	0	0
LY6G6F	0	0	0	0
LY6G6F-LY6G6D	0	0	0	0
MIR4646	2.03194568955095	0	1.06264521936063	0
LOC105375018	20.3194568955095	19.0907122317286	15.9396782904094	7.60199076162317
ABHD16A	3378.10970887845	3314.14764342808	2969.0307428936	3199.48786179815
LOC105375019	0	0	2.12529043872126	0
LY6G5C	35.5590495671416	45.8177093561486	34.0046470195401	23.7562211300724
LY6G5B	635.999000829447	831.40051769178	1418.63136784644	1261.93046642945
CSNK2B	6830.38543542551	6563.38686526829	6523.5790016549	7627.64748044365
GPANK1	928.599180124783	1034.71660295969	1215.66613094856	1084.2339323765
C6orf47	2081.72835894495	2352.93028256055	1711.92144838997	1779.81608706502
APOM	161.5396823193	204.270620879496	183.837622949389	124.482598721579
BAG6	28696.1530006833	30516.5035024181	29274.813148166	28906.5698710721
MIR6832	18.2875112059585	11.4544273390371	15.9396782904094	5.70149307121738
SNORA38	22.3514025850604	39.1359600750436	49.9443253099495	43.7114468793332
PRRC2A	48162.1927065813	46155.6149626502	45760.6910813267	49217.1886884388
AIF1	0	0	1.06264521936063	0
UQCRHP1	0	0	0	0
NCR3	0	0	0	0
LST1	0	0	0	0
LTB	10.1597284477547	20.9997834549014	23.3781948259338	38.0099538081158
TNF	4.0638913791019	21.9543190664879	19.1276139484913	19.0049769040579
LTA	34.5430767223661	43.9086381329757	23.3781948259338	39.9104514985216
LOC100287329	0	0	1.06264521936063	0
NFKBIL1	2701.47179425799	2806.3346980641	1689.6058987834	1724.70165404326
ATP6V1G2	10.1597284477547	17.1816410085557	24.4408400452945	19.0049769040579
DDX39B-AS1	22.3514025850604	20.045247843315	11.6890974129669	11.4029861424348
SNORD84	118.86882283873	112.635202167199	141.331814174964	129.233842947594
SNORD117	32.5111310328152	41.0450312982165	48.8816800905889	23.7562211300724
DDX39B	0	0	0	0
ATP6V1G2-DDX39B	7.11180991342832	14.3180341737964	51.0069705293102	44.6616957245361
MCCD1	2.03194568955095	0	0	0
RPL15P4	0	0	0	0
PPIAP9	0	0.954535611586429	0	0
MICB	631.935109450345	764.58302488073	2034.9655950756	1832.07977355118
MICB-DT	43.6868323253454	53.45399424884	53.1322609680314	73.169161080623
HCG26	55.8785064626511	89.7263474891243	9.56380697424565	21.8557234396666
HCP5	1096.23469951274	1457.57587889248	297.540661420976	417.159243044071
HLA-X	0	1.90907122317286	0	1.90049769040579
LINC01149	0	0	4.25058087744251	11.4029861424348
MICA	1249.64659907383	1303.89564542706	2373.94942005164	2395.5773387565
MICA-AS1	201.162623265544	226.224939945984	193.401429923634	163.442801374898
LOC124901300	0	0	0	0
LOC105379664	0	0	0	0
RNU6-283P	0	0	0	0
DHFRP2	0	0	0	0
MIR6891	0	0	0	0
HLA-B	18918.4303425641	23304.0324212711	7433.2033094276	7687.51315769143
LINC02571	0	0	0	0
WASF5P	0	0	0	0
RPL3P2	62.9903163760794	92.5899543238836	79.6983914520471	83.6218983778549
USP8P1	5.07986422387737	4.77267805793215	7.4385165355244	11.4029861424348
HLA-C	25328.2030202526	28043.3017327977	16627.2097473358	15921.4194013745
HCG27	17.2715383611831	23.8633902896607	26.5661304840157	30.4079630464927
PSORS1C3	76.1979633581605	140.316734903205	260.348078743354	199.552257492608
POU5F1	129.028551286485	109.771595332439	256.097497865911	249.915446288362
TCF19	301.743934898316	523.085515149363	2106.16282477277	1911.90067654823
RNU6-1133P	0	0	0	0
HCG22	0	3.81814244634572	0	0
MUC22	0	7.63628489269143	2.12529043872126	1.90049769040579
LINC00243	22.3514025850604	20.9997834549014	4.25058087744251	17.1044792136521
HCG20	2.03194568955095	3.81814244634572	4.25058087744251	1.90049769040579
RN7SL353P	0	0	0	0
IER3	5757.51811134261	4351.72785322253	17476.2632776049	15177.3745555807
IER3-AS1	77.213936202936	30.5451395707657	138.143878516882	161.542303684492
FLOT1	6592.64778974805	6926.11039767113	3146.49249452682	3399.99036813596
TUBB	22911.2036225317	28029.9382342355	72879.39707941	73129.2506291245
MDC1-AS1	31.4951581880397	16.2271053969693	86.0742627682109	79.8209029970433
MDC1	1940.50813352116	2929.46979195875	6362.05692831208	6825.6374550924
LOC107987457	0	0	0	0
DHX16	4199.01576745703	4465.31759100132	5132.57640951183	5242.52287898438
C6orf136	951.966555554619	1048.0801015219	851.178820707863	962.602080190534
PTMAP1	8.12778275820379	11.4544273390371	7.4385165355244	15.2039815232463
ATAT1	237.737645677461	230.043082392329	383.614924189187	367.746303093521
MRPS18B	10667.7148701425	10487.4827645001	7212.17310380058	6695.45336329961
PPP1R10	13248.2858958722	13347.271456813	13531.7242233382	13221.7624321531
MIR877	0	0	0	0
ABCF1	9203.69800082102	9846.03483351402	9769.96014680162	11066.5980512329
PRR3	937.742935727762	963.126432090707	1127.46657774163	1201.11454033646
GNL1	7203.24746945811	6929.92854011748	5909.37006486445	5981.81648055223
LINC02569	29.4632124984887	37.2268888518707	17.0023235097701	11.4029861424348
HLA-E	21769.2501450041	24942.970066365	11520.1368230886	12906.2798155457
RANP1	168.651492232729	209.043298937428	255.034852646551	269.870672037623
SUCLA2P1	1.01597284477547	0.954535611586429	0	0
LOC105375012	0	0	0	1.90049769040579
MICC	0	0	0	0
UBQLN1P1	0	0	0	3.80099538081158
HLA-N	0	0	0	0
RPP21	3.04791853432642	1.90907122317286	0	0.950248845202896
TRIM39-RPP21	0	0	0	0
TRIM39	773.155334874136	716.856244301408	718.348168287785	855.223960682607
HCG18	6070.43774753346	5832.21258679308	2913.77319148684	3227.04507830904
HLA-L	50.7986422387737	58.2266723067722	82.886327110129	81.7214006874491
HCG17	50.7986422387737	27.6815327360064	27.6287757033763	16.1542303684492
PAIP1P1	159.507736629749	112.635202167199	93.5127793037353	91.223889139478
TRIM26	8705.87130688104	7635.33035707985	11115.2689945122	11101.7572585054
TRIM15	86.3576918059153	52.4994586372536	68.0092940390802	55.114433021768
TRIM10	5.07986422387737	3.81814244634572	4.25058087744251	3.80099538081158
TRIM40	0	1.90907122317286	13.8143878516882	7.60199076162317
LOC124900227	0	0	0	0
TRIM31-AS1	16.2555655164076	7.63628489269143	7.4385165355244	7.60199076162317
TRIM31	2.03194568955095	1.90907122317286	0	3.80099538081158
RNF39	705.085154274179	958.353754032775	458.000089544431	416.208994198868
PPP1R11	3609.75151748726	3799.05173411399	2042.40411161113	2127.60716440928
POLR1H	1926.2845136943	1517.71162242242	1608.84486211199	1423.47277011394
ETF1P1	0	0	2.12529043872126	0
HLA-J	15.2395926716321	20.9997834549014	1.06264521936063	10.4527372972319
HCG4P3	61.9743435313039	74.4537777037415	30.8167113614582	24.7064699752753
ZNRD1ASP	546.593390489205	474.404198958455	273.099821375681	308.830874690941
LOC353007	14.2236198268566	20.045247843315	10.6264521936063	6.65174191642027
MCCD1P2	2.03194568955095	10.4998917274507	5.31322609680314	0
DDX39BP2	6.09583706865284	5.72721366951857	0	0
HCG9	14.2236198268566	6.681749281105	2.12529043872126	14.2537326780434
MICD	52.8305879283246	32.4542107939386	37.192582677622	30.4079630464927
HLA-A	18995.644278767	19498.298937876	11782.6101922706	11069.4487977685
HLA-K	5.07986422387737	7.63628489269143	72.2598749165227	40.8607003437245
HCG4B	37.5909952566925	29.5906039591793	14.8770330710488	15.2039815232463
LOC353008	17.2715383611831	8.59082050427786	2.12529043872126	2.85074653560869
MCCD1P1	15.2395926716321	11.4544273390371	0	7.60199076162317
DDX39BP1	2.03194568955095	0	0	0
HLA-H	158.491763784974	121.226022671476	188.088203826831	195.751262111797
HCP5B	6.09583706865284	3.81814244634572	0	1.90049769040579
MICF	0	1.90907122317286	0	0
LOC105375010	12.1916741373057	1.90907122317286	2.12529043872126	2.85074653560869
HCGVIII-2	0	0.954535611586429	2.12529043872126	0
HLA-G	0	0	0	0
MICG	0	0	0	0
RPL7AP7	0	0	0	0
HLA-P	3.04791853432642	0	0	0.950248845202896
HCG4P9	0	0	0	1.90049769040579
HLA-V	95.5014474088945	88.7718118775379	320.91885624691	255.616939359579
HCG4	78.2299090477115	54.4085298604265	78.6357462326865	49.4129399505506
LOC353010	0	0	0	0
LOC105379663	0	0	0	0
IFITM4P	15.2395926716321	10.4998917274507	19.1276139484913	16.1542303684492
HCG9P5	0	0	0	0.950248845202896
MICE	178.811220680483	130.771378787341	580.204289770903	441.865713019347
HLA-F-AS1	161.5396823193	155.589304688588	260.348078743354	227.109474003492
RPL23AP1	0	0	1.06264521936063	1.90049769040579
HLA-F	2152.84645807923	2960.9694671411	921.313405185665	1115.5921442682
ZDHHC20P1	0	0	2.12529043872126	6.65174191642027
ZFP57	2.03194568955095	5.72721366951857	43.5684539937858	52.2636864861593
MOG	0	0	0	0
SUMO2P1	322.063391793825	473.449663346869	293.290080543533	535.940348694433
GABBR1	1501.60786457815	1569.25654544809	1349.559428588	1256.22897335823
OR2I1P	0	0	0	5.70149307121738
GPR53P	0	0	0	0
LINC01015	0	0	0	0
LINC02829	0	0	0	0
RPS17P1	0	0	0	0
MAS1L	0	0	0	0
LOC124905400	0	0	0	0
LOC105375008	0	0	0	0
MAS1LP1	0	0	0	0
UBDP1	0	0	0	0
OR2H1	0	0	0	0
OR10C1	0	0	0	0
OR11A1	0	0	0	0
OR12D1	0	0	0	0
OR12D2	0	0	0	0
OR12D3	0	0	0	0
OR5V1	0	0	0	0
DDX6P1	0	0	0	0
OR14J1	0	0	0	0
OR2B4P	0	0	0	0
LOC105375005	0	0	0	0
OR2U2P	0	0	0	0
OR2U1P	0	0	0	0
OR2G1P	0	0	0	0
LINC03003	0	0	0	0
OR2H4P	0	0	0	0
OR2J4P	0	0	0	0
OR2J2	0	0	0	0
OR2N1P	0	0	0	0
OR2J3	0	0	0	0
OR2J1	0	0	0	0
OR2B3	0	0	0	0
SAR1AP1	0	0	0	0
OR2P1P	0	0	0	0
OR2W1	0	0	0	0
OR2W1-AS1	0	0	0	0
OR2AD1P	0	0	0	0
LOC105375002	0	0	0	0
ZNF311	348.478685757988	310.224073765589	141.331814174964	205.253750563826
TRL-AAG3-1	8.12778275820379	8.59082050427786	11.6890974129669	2.85074653560869
HCG15	113.788958614853	83.0445982080193	115.828328910308	95.0248845202896
TRE-CTC1-6	0	0	0	0
TRF-GAA1-2	0	0	0	0
RN7SL471P	922.50334305613	645.266073432426	2254.93315548325	1502.34342426578
KRT18P1	0	0.954535611586429	0	0
TRM-CAT3-2	0	0	0	0
TRK-TTT3-3	0	3.81814244634572	0	0
TRM-CAT3-1	0	0	0	0
LINC01556	2.03194568955095	11.4544273390371	10.6264521936063	7.60199076162317
TRL-AAG2-2	0	0	0	0
TRQ-CTG1-3	0	0	0	0
TRL-CAA1-2	4.0638913791019	1.90907122317286	0	0
RNU6-930P	0	0	0	0
TRIM27	8413.2711275857	7994.23574703634	8995.29178188772	8466.7172107578
HCG14	1.01597284477547	4.77267805793215	0	2.85074653560869
TRL-CAA1-1	0	3.81814244634572	2.12529043872126	9.50248845202896
ZNF90P2	0	0	0	0
TRR-CCG1-2	0	0	0	1.90049769040579
TRA-AGC2-2	0	0	0	0
RPL13P	0	0	0	0
LINC01623	0	0	0	0
TRA-AGC2-1	0	0	0	0
TRF-GAA4-1	0	0	0	0
TRA-TGC5-1	2.03194568955095	0.954535611586429	2.12529043872126	7.60199076162317
TRA-AGC6-1	0	0	2.12529043872126	0
TRF-GAA3-1	0	0.954535611586429	0	0
TRA-TGC7-1	14.2236198268566	11.4544273390371	19.1276139484913	51.3134376409564
LOC124901504	0	0	0	0
TRA-AGC1-1	0	1.90907122317286	0	0
TRF-GAA1-1	0	0	0	0
TRA-TGC1-1	0	0	0	0
NOP56P1	0	0	0	0
TRA-AGC23-1	0	0	0	0
TRF-GAA5-1	0	0	0	0.950248845202896
TRF-GAA6-1	0	0	0	0
TRA-TGC6-1	0	1.90907122317286	3.18793565808188	0
TRK-TTT7-1	4.0638913791019	3.81814244634572	23.3781948259338	3.80099538081158
TRR-CCG1-1	23.3673754298359	5.72721366951857	110.515102813505	25.6567188204782
TRV-AAC6-1	2.03194568955095	1.90907122317286	0	1.90049769040579
RPSAP2	0	0	0	0
TRA-CGC4-1	0	0	3.18793565808188	4.75124422601448
TRF-GAA11-1	0	0	0	0
TRT-AGT3-1	2.03194568955095	0	6.37587131616377	11.4029861424348
TRA-AGC7-1	0	0	2.12529043872126	9.50248845202896
TRA-AGC5-1	0	0.954535611586429	2.12529043872126	7.60199076162317
TRK-TTT13-1	0	0	0	0
LOC100288016	0	3.81814244634572	8.50116175488503	1.90049769040579
LOC105374297	2.03194568955095	0.954535611586429	3.18793565808188	0.950248845202896
SDHAP2	1358.35569346481	1281.94132636057	1104.08838291569	1106.08965581617
MIR570	106.677148701425	109.771595332439	83.9489723294896	87.4228937586664
SMBD1P	947.902664175517	895.354403668071	310.292404053303	399.104514985216
MIR570HG	86.3576918059153	115.498809001958	53.1322609680314	50.3631887957535
LOC124905401	0	0	0	0
MUC20	140.204252579015	178.498159366662	29.7540661420976	48.4626911053477
MUC4	14.2236198268566	20.9997834549014	4.25058087744251	19.9552257492608
LOC112268340	0	0	0	0
LOC124905399	0	0	0	0
LYPLA2P1	3.04791853432642	5.72721366951857	10.6264521936063	2.85074653560869
MYL12BP3	0	0	0	0
DAXX	4084.21083599741	4669.58821188081	5414.1773926424	5551.35375367532
ZBTB22	2274.76319945229	2570.56440200225	1213.54084050984	1093.73642082853
TAPBP	19660.0905192502	20568.3333584644	13169.3622035363	14277.4888991735
RGL2	3293.78396276209	2999.15089160456	5323.85254899675	5324.24427967183
MIR6834	0	0	0	0
PFDN6	808.714384441277	1131.12469972992	995.698570540909	1103.23890928056
MIR6873	0	0	0	0
WDR46	4211.20744159434	4391.81834890916	3565.17471095491	3715.47298474332
B3GALT4	86.3576918059153	72.5447064805686	54.194906187392	67.4676680094056
LOC105375022	105.661175856649	118.362415836717	147.707685491127	110.228866043536
RING1	2322.51392315673	2628.79107430903	1681.10473702851	1793.11957089787
MIR219A1	3.04791853432642	0.954535611586429	0	7.60199076162317
HSD17B8	701.021262895077	728.310671640445	278.413047472485	219.507483241869
SLC39A7	6099.90096003195	6354.34356633086	7239.80187950396	7617.19474314642
RNY4P10	0	0	2.12529043872126	0.950248845202896
RXRB	4954.89956396999	5122.99262738436	4591.68999285727	3896.97051417708
HCG24	0	0	0	0
LOC105375021	0	0	0	0.950248845202896
LOC124905396	0	0	0	0
MTCO3P1	0	0	0	0
RNU1-116P	0	0	0	0
HLA-DRB2	0	0	0	0
HLA-DRB3	0	0	0	0
LOC124905397	0	0	0	0
RNA5SP206	0	0	0	0
C4A	2642.54536926101	3262.60272040241	413.368990331284	671.825933558448
ZBTB12	523.226015059369	478.222341404801	286.91420922737	390.55227537839
SNORD52	85.3417189611398	78.2719201500872	105.201876716702	99.7761287463041
SNORD48	20.3194568955095	17.1816410085557	47.8190348712283	57.9651795573767
SNHG32	13144.6566657051	13646.9956388512	7909.26836770116	7327.36884535953
HSPA1B	6213.6899186468	7283.10671640445	5288.78525675785	5189.30894365302
HSPA1A	3911.49545238557	5526.76119108542	4278.20965314589	4367.34369255251
HSPA1L	114.804931459629	149.862091019069	117.95361934903	102.626875281913
LSM2	1489.41619044084	1706.70967351654	2462.14897325858	2563.77138435741
LOC105375020	0	0	0	0
LOC105379656	0	0	0	0
CCHCR1	1449.7932494946	1804.07230589835	1770.36693545481	1822.57728509915
POLR2LP1	3.04791853432642	0	0	0
PSORS1C2	0	1.90907122317286	0	0.950248845202896
CDSN	32.5111310328152	47.7267805793215	34.0046470195401	33.2587095821014
PSORS1C1	92.4535288745681	126.953236340995	94.5754245230959	92.1741379846809
C6orf15	2.03194568955095	0	0	0
MUC21	338.318957310233	367.496210460775	2.12529043872126	214.756239015855
NAPGP2	0	0	0	0
HCG21	0	0	0	0
MUCL3	10.1597284477547	16.2271053969693	4.25058087744251	1.90049769040579
LOC124901299	4.0638913791019	6.681749281105	4.25058087744251	1.90049769040579
SFTA2	0	0	0	5.70149307121738
VARS2	4571.87780148963	4765.99630865104	6991.14289817357	5956.15976173175
GTF2H4	2104.07976153001	2271.7947555757	2270.87283377366	2196.02508126389
MIR4640	12.1916741373057	15.2725697853829	18.0649687291307	5.70149307121738
DDR1	28777.4308282653	35324.499377979	38413.5620346674	39678.5907802921
RN7SKP186	0	0	0	0
LINC02570	0	0	0	0
LOC124905395	0	0	0	0
RPL7P4	6.09583706865284	0	2.12529043872126	3.80099538081158
NRM	153.411899561097	130.771378787341	285.851564008009	259.417934740391
PPP1R18	5333.85743507124	6070.84648968969	9136.62359606268	9033.06552249873
TMPOP1	0	0	0	3.80099538081158
TRIM26BP	0	0	0	1.90049769040579
HLA-W	0	0	2.12529043872126	1.90049769040579
LOC124905394	0	0	0	0
LOC353009	6.09583706865284	7.63628489269143	0	0
