Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MLT2B1:ERVL:LTR	2750.68128	-0.425702105	0.131320382	-3.241706262	0.001188164	0.009060297
MSR1:Satellite:Satellite	706.52586	0.471030019	0.155759594	3.024083503	0.002493876	0.016946565
MSTA-int:ERVL-MaLR:LTR	8597.089316	0.461216083	0.109628743	4.20707263	2.59E-05	0.000316679
MSTB2-int:ERVL-MaLR:LTR	84.95131664	0.96768075	0.347631809	2.783636953	0.005375316	0.032100313
MamGyp-int:Gypsy:LTR	159.4399861	-0.742456649	0.261530332	-2.838893074	0.004527032	0.027855073
MamTip1:hAT-Tip100:DNA	669.9698342	0.518200978	0.155431718	3.333946149	0.000856232	0.006847456
ORSL:hAT-Tip100:DNA	1030.859455	0.851700624	0.137793978	6.1809713	6.37E-10	1.87E-08
PABL_A-int:ERV1:LTR	273.5207926	-0.570883095	0.210523179	-2.7117351	0.006693206	0.038451045
PRIMA41-int:ERV1:LTR	272.2109783	-0.814428391	0.225300125	-3.614859909	0.00030051	0.002786129
SVA_E:SVA:Retroposon	1514.603092	-0.40921845	0.130549716	-3.134579392	0.001721007	0.012397439
UCON12:UCON12:Unknown	34.51531349	-1.381175384	0.528302674	-2.614363793	0.00893938	0.048751854
Zaphod2:hAT-Tip100:DNA	444.5910421	0.487669411	0.182460076	2.67274585	0.007523322	0.042308508
