Name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NM_000235.3	2095.428137	0.888798791	0.126397156	7.031794248	2.04E-12	8.31E-11
NM_000240.3	7329.82075	-1.602791259	0.110524821	-14.50164085	1.18E-47	7.02E-45
NM_000243.2	438.0653995	1.28679769	0.204600401	6.289321449	3.19E-10	9.77E-09
NM_000250.1	10.6868869	3.726289607	1.217574562	3.060420055	0.002210268	0.015289153
NM_000251.2	318.9771794	0.714229052	0.193976566	3.682037817	0.000231377	0.002210939
NM_000255.3	1382.383815	-0.611588532	0.127820021	-4.784763187	1.71E-06	2.80E-05
NM_000264.3	72.81848927	-1.075630366	0.366847636	-2.932090222	0.003366889	0.021837488
NM_000269.2	2328.998286	0.642936038	0.132218754	4.86266901	1.16E-06	1.95E-05
NM_000270.3	3978.202932	1.446915967	0.113360217	12.76387787	2.61E-37	8.01E-35
NM_000285.3	498.0885197	-0.649990227	0.169146005	-3.842776105	0.00012165	0.001251267
NM_000286.2	521.7494446	-0.660196814	0.171270917	-3.854693047	0.000115875	0.001197418
NM_000287.3	1077.930061	-0.36919585	0.14098619	-2.618666771	0.008827413	0.048215049
NM_000291.3	26823.57854	0.921464387	0.111368031	8.274047545	1.29E-16	8.64E-15
NM_000296.3	1752.465574	-0.404097213	0.140234143	-2.88158935	0.00395675	0.024946285
NM_000302.3	3595.287546	0.354866554	0.11517652	3.081066815	0.002062604	0.014422753
NM_000303.2	1369.745879	0.414946791	0.127479526	3.255007329	0.001133894	0.008719797
NM_000308.3	934.638639	-0.531053285	0.156228643	-3.399205639	0.000675819	0.005598575
NM_000313.3	1805.101959	0.424830848	0.127425388	3.333957661	0.000856197	0.006847456
NM_000314.6	4040.446848	-0.403466933	0.108978226	-3.702271068	0.000213678	0.002059176
NM_000317.2	1150.330684	0.757225869	0.131996914	5.736693712	9.65E-09	2.27E-07
NM_000321.2	2479.951459	0.356189474	0.116177143	3.06591696	0.002170036	0.015045289
NM_000329.2	9.273402897	3.506311328	1.262635827	2.776977537	0.005486697	0.032605377
NM_000332.3	560.8637516	-0.573789654	0.163536968	-3.508623531	0.000450432	0.003973854
NM_000336.2	1854.639926	-2.05640103	0.131475312	-15.64096709	3.83E-55	3.32E-52
NM_000347.5	17.37681927	-2.399159738	0.790589029	-3.034648407	0.002408162	0.01644531
NM_000355.3	93.56068772	-1.113032134	0.329849224	-3.374366385	0.000739858	0.006036335
NM_000356.3	252.2430907	1.33666298	0.219178222	6.09852096	1.07E-09	3.02E-08
NM_000358.2	59755.29604	1.615427467	0.115915854	13.93620814	3.82E-44	1.86E-41
NM_000359.2	4401.903509	0.879827239	0.16618497	5.294264808	1.19E-07	2.35E-06
NM_000362.4	4823.074384	0.751889636	0.132152071	5.68957892	1.27E-08	2.94E-07
NM_000365.5	7605.804543	0.455438765	0.105058271	4.335106226	1.46E-05	0.000189431
NM_000373.3	698.9091358	0.527349463	0.151547871	3.479755004	0.000501872	0.004339222
NM_000374.4	685.8599592	0.421131973	0.154298315	2.729336173	0.006346197	0.036779551
NM_000376.2	1519.167168	0.650827833	0.137283569	4.740755492	2.13E-06	3.41E-05
NM_000379.3	1856.144819	2.940705432	0.131964319	22.28409511	5.27E-110	3.29E-106
NM_000382.2	1475.338718	-0.535058583	0.130947095	-4.086066848	4.39E-05	0.000508412
NM_000386.3	3229.638421	0.38188078	0.113001594	3.379428249	0.000726368	0.005946699
NM_000387.5	858.1410053	0.423852649	0.145451222	2.914053552	0.003567687	0.022926659
NM_000389.4	4796.870313	1.416632582	0.115350272	12.28113774	1.14E-34	3.07E-32
NM_000391.3	2948.282139	-1.217339405	0.117957656	-10.32013897	5.71E-25	8.17E-23
NM_000393.3	378.4953966	-0.832811018	0.192034653	-4.336774655	1.45E-05	0.000188196
NM_000396.3	383.0800677	0.593895327	0.192495832	3.085237332	0.002033898	0.014259015
NM_000405.4	14396.77759	1.091859486	0.134662554	8.108115065	5.14E-16	3.19E-14
NM_000408.4	822.8549187	0.73010453	0.143950514	5.071913343	3.94E-07	7.15E-06
NM_000411.6	226.0659734	-0.649682137	0.225722844	-2.878229445	0.003999142	0.025151299
NM_000414.3	1456.312309	-0.341639126	0.127556693	-2.678331636	0.007398992	0.041726951
NM_000418.3	418.3012551	0.7029098	0.176289909	3.987237865	6.68E-05	0.000739096
NM_000421.3	10271.13624	-2.419780261	0.853746156	-2.83430882	0.004592493	0.028200445
NM_000422.2	68791.82203	-1.355556713	0.341444147	-3.970068674	7.19E-05	0.00078901
NM_000425.4	94.28111058	1.433759491	0.333063599	4.3047619	1.67E-05	0.000214563
NM_000428.2	1332.865696	1.311788431	0.135043222	9.713841361	2.63E-22	2.99E-20
NM_000431.3	282.9549153	0.791721672	0.220847635	3.584922579	0.000337178	0.003087349
NM_000436.3	500.5855021	-0.592752941	0.165951575	-3.57184282	0.000354478	0.00322356
NM_000437.3	252.7634446	-0.586129581	0.214519734	-2.732287469	0.006289624	0.036511078
NM_000441.1	15.65314024	-4.907985417	1.243049266	-3.948343441	7.87E-05	0.000852967
NM_000445.4	7038.58264	0.464024779	0.13333692	3.48009224	0.000501241	0.004334905
NM_000449.3	380.7235214	1.023599092	0.201980625	5.067808327	4.02E-07	7.29E-06
NM_000474.3	729.2482997	-1.110390449	0.171336331	-6.480764727	9.13E-11	2.97E-09
NM_000494.3	44560.37755	1.186510923	0.133150103	8.911077792	5.05E-19	4.41E-17
NM_000500.7	32.37082413	-1.799382394	0.615852766	-2.921773665	0.003480444	0.02245717
NM_000509.5	13.63082887	3.672478201	1.072382621	3.424596902	0.000615712	0.005163689
NM_000511.5	38.70236445	-1.495661802	0.551115392	-2.713881383	0.006649997	0.038235855
NM_000521.3	2661.94183	0.298319245	0.113823088	2.620902765	0.008769727	0.047970898
NM_000526.4	12858.06306	0.445960605	0.113725552	3.921375614	8.80E-05	0.000937013
NM_000527.4	2084.277777	0.794926005	0.1194767	6.653397757	2.86E-11	1.01E-09
NM_000532.4	1192.381287	-0.624682748	0.137356455	-4.54789509	5.42E-06	7.84E-05
NM_000537.3	13.2188152	-3.270602165	1.02918634	-3.177852287	0.001483703	0.010919867
NM_000538.3	411.7574546	-0.757663969	0.189388063	-4.000589878	6.32E-05	0.000701873
NM_000542.3	296.3815481	-2.706677945	0.224847904	-12.03781713	2.25E-33	5.52E-31
NM_000558.4	5.135960909	5.816473061	1.92647364	3.019233142	0.002534154	0.017185143
NM_000565.3	873.9656461	-1.35402361	0.157130802	-8.617174956	6.86E-18	5.14E-16
NM_000574.4	984.0200706	-0.729127658	0.146780865	-4.967457143	6.78E-07	1.18E-05
NM_000575.4	7931.778741	1.589286711	0.149342578	10.64188613	1.90E-26	3.08E-24
NM_000576.2	1855.777044	3.1063194	0.133688004	23.23558805	1.99E-119	3.97E-115
NM_000581.2	10366.07931	0.414986773	0.106795983	3.885790111	0.000101998	0.001069415
NM_000584.3	2326.427269	3.245220802	0.127364176	25.47985542	3.30E-143	1.10E-138
NM_000587.2	22.62738666	-4.07834809	0.883847822	-4.614310278	3.94E-06	5.88E-05
NM_000597.2	151.6328441	1.915101807	0.292823737	6.540118043	6.15E-11	2.05E-09
NM_000598.4	53.9840087	1.195214382	0.446047328	2.679568529	0.007371711	0.041600074
NM_000600.4	21.94807941	5.432918032	1.185910972	4.581219131	4.62E-06	6.77E-05
NM_000602.4	2195.17149	3.281663245	0.416240039	7.884064326	3.17E-15	1.78E-13
NM_000607.2	96.25878698	-6.030482333	1.761153242	-3.424166728	0.000616688	0.005171001
NM_000623.3	1053.930672	2.107879099	0.148292916	14.21429398	7.47E-46	3.94E-43
NM_000624.5	533.2647938	-1.523550128	0.460560592	-3.308034066	0.000939534	0.007426695
NM_000627.3	547.6049442	1.493051758	0.168627692	8.854131473	8.43E-19	7.12E-17
NM_000632.3	34.32882258	3.550236805	0.669598382	5.302039103	1.15E-07	2.26E-06
NM_000634.2	594.7360586	-3.706302112	0.60537218	-6.122352889	9.22E-10	2.64E-08
NM_000636.3	58590.63462	-1.212802745	0.110997368	-10.92640994	8.62E-28	1.51E-25
NM_000640.2	14.51324696	3.76711741	1.032027861	3.650209024	0.000262027	0.002466248
NM_000655.4	7.500592058	4.881355451	1.758225046	2.776297302	0.005498191	0.03266784
NM_000660.5	1479.810263	0.773438487	0.128041963	6.040507871	1.54E-09	4.16E-08
NM_000668.5	263.7425456	-4.119904763	0.306908594	-13.42388204	4.38E-41	1.78E-38
NM_000669.4	3.899762521	-5.394853008	2.06624137	-2.61095005	0.009029108	0.049128376
NM_000676.2	363.6807105	1.182847696	0.188098726	6.288440749	3.21E-10	9.82E-09
NM_000680.3	4.648681798	-5.647694249	1.96836218	-2.8692353	0.004114656	0.025740083
NM_000687.3	1923.385493	0.566017055	0.121849777	4.645203858	3.40E-06	5.15E-05
