pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BURTON_ADIPOGENESIS_PEAK_AT_0HR	0.170818505338078	0.322154206170657	0.204294756516886	-0.426852759780115	-1.32872561761284	22	PCK2, DDIT3, IDH1, FLOT1
BURTON_ADIPOGENESIS_PEAK_AT_16HR	0.00995480996071125	0.0422693150216453	0.380730400722792	0.636669983458895	1.71189972124442	30	RRM2, CDC6, MCM5, HELLS, FEN1, MCM7, RAD51, MCM3, CHAF1B, POLD1, SMC2, POLA2, DNMT1, MCM6, CDCA7, VCAN, PGP, ECM1, MCM4
BURTON_ADIPOGENESIS_PEAK_AT_24HR	1.95335955624248e-10	3.36998518036428e-09	0.826657301178302	0.860819432705962	2.29775043283176	29	CDC20, ANLN, HMMR, BUB1, CCNA2, CCNB1, KIF20A, PRC1, CDK1, UBE2C, MELK, KIFC1, PTTG1, KPNA2, AURKB, TOP2A, NUSAP1, CDC25C, ISYNA1, RANGAP1, RACGAP1, RRM1, STMN1, DCTPP1
BURTON_ADIPOGENESIS_PEAK_AT_2HR	0.40794701986755	0.562837567036281	0.0684714904492087	0.386453304161118	1.05442183941013	31	IER3, IL6, BTG2, ID3, MAP2K3, CCN2, CDR2L, RGS2, SERPINE1, PTGS2, CCN1
BURTON_ADIPOGENESIS_PEAK_AT_8HR	0.580195258019526	0.693987457281319	0.0541200569620232	0.371504067268203	0.937681163011022	21	HMGA2, FOSL1, SDC1, PLAC8, EREG, TUBB2A
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN	7.03268928766457e-14	1.6423902421802e-12	0.954541630725724	0.593770471659585	2.09600073873111	270	ARHGDIB, SMTN, HJURP, BUB1, CCNA2, AURKA, PCDH7, RRM2, GINS2, BIRC5, KIF20A, PSRC1, TGM2, CDK1, LMNB1, KIFC1, IRS1, SPARC, NEK2, CHST2, CCND1, AURKB, ENC1, HELLS, TOP2A, CDCA3, TGFBI, NAV3, BRIP1, GLIPR1, CCNF, E2F1, TUBB, PLK2, ORC1, POLE2, PIMREG, KIAA1549L, PLXNA2, CARD10, GINS4, NMU, CENPI, SPC25, CNN2, CDKN3, RAD51C, FHOD1, NRGN, EFHD2, DNA2, RAC2, ADAM12, MCM3, TM7SF3, MPZL2, MREG, ID3, FANCA, CDC7, GALNT14, POLA2, WDR76, CCN2, CCNE1, DTYMK, NEIL3, NID1, RFC3, DCTPP1, SLFN12, PLCL2, CTSC, CLTB, CYP24A1, GM2A, SERPINE1, LCP1, SRGN, BCL2L1, LMNB2, TPM4, VCAN, LIPA, EBP, PRIM1, DHFR, FBXO5, KIF18B, PGP, TRIAP1, DBF4, CCN1, MKI67
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	0.421624543526914	0.57507906043735	0.203508959461977	-0.225910135535375	-1.04005896461773	277	SLC1A4, MT1X, CDKN1C, KLHL24, AHNAK2, ASS1, NFIL3, CLU, TXNIP, GRB10, SOD2, IL6R, SLC39A14, CHAC1, NR1D2, CEBPD, DDIT3, KLF9, HERPUD1, GFPT1, GTPBP2, PNRC1, ETS2, CITED2, TOB2, SQSTM1, AZI2, AARS1, SLC12A7, SLC7A11, KLF4, AKR1C1, TTC17, JUND, WDR19, INSR, HDAC5, CTH, FOSL2, STK17B, EIF1
BYSTROEM_CORRELATED_WITH_IL5_DN	0.0911602209944751	0.212633158592472	0.172324344900946	0.561696630575743	1.40475403665072	19	FOXM1, CEACAM1, TMPO, INCENP, SLFN12
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_CIS	0.0956399437412096	0.219079536201455	0.169570644405628	0.570609820135357	1.4068679892117	17	HJURP, CCND2, CTSC, C5orf34, ARL6IP1
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_TRANS	0.343347639484979	0.5019165874914	0.155241966228839	-0.30210344055058	-1.08328499907974	45	PCK2, PPARA
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_CIS	0.0637450199203187	0.168761379212826	0.204294756516886	0.506866916322207	1.42957589409474	41	HJURP, TUBB6, GGH, F5, FLI1, CCND2, DIAPH3, PADI4
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	0.304772234273319	0.464902892346246	0.0730744399126987	0.314336079483727	1.09233196844693	192	CDC20, AURKA, PTTG1, ENC1, FHOD3, CEACAM1, CSF3, NUSAP1, RAD54L, PLXNA2, IER3, DGKA, CDKN3, IGFBP2, ITGA6, MYBL1, GRIN2C, ENG, MED24, IMPDH1, COL17A1, SLFN12, PAK3, TUBA1A, FIGNL1, UBE2T, SEC14L2, WNT7A, RHOD, VEGFC, GIPC1, GJA5, FBLN1, SOX15
CADWELL_ATG16L1_TARGETS_DN	0.330960854092527	0.492455350106596	0.142901149386948	-0.362686565557405	-1.12898633024744	22	FKBP5, C15orf40, RNF187, RGS5, TMEM267, PDK4, PPARGC1A
CADWELL_ATG16L1_TARGETS_UP	0.487544483985765	0.624513502898154	0.114750719227023	-0.317141809447062	-0.987212655824168	22	SOCS3, CHAC1, AMY2B, NPR3, DGAT2, ZKSCAN1, XIST
CAFFAREL_RESPONSE_TO_THC_24HR_5_DN	0.0868385345997286	0.20709314291218	0.175204047558551	0.546163776090071	1.43170773450361	27	RRM2, CDK1, UBE2C, FOXM1, PCLAF, NUSAP1
CAFFAREL_RESPONSE_TO_THC_DN	1.07655636648141e-05	0.000100330580879289	0.593325476396405	0.815028501550139	2.05714268174871	21	CCNA2, RRM2, CDK1, UHRF1, ZWINT, PCLAF, TUBB, PNP, MCM3, CALM3, TUBA1A, MCM6, EBP, GIPC1, DHFR
CAIRO_HEPATOBLASTOMA_CLASSES_DN	0.0167289621731525	0.0633121789754685	0.352487857583619	-0.394519421973436	-1.53488762641873	76	ADH1B, IL1R1, TSC22D3, SNED1, C1S, C1R, NR1D2, BCL6, HCP5, CTSF, KANK2
CAIRO_HEPATOBLASTOMA_CLASSES_UP	2.49174998796873e-24	1.98820884456672e-22	1.27903397725049	0.689655597196474	2.41602378194598	229	CDC20, KIF14, HJURP, TTK, HMMR, BUB1, CCNA2, PLK1, CCNB1, AURKA, ASPM, RRM2, KIF23, SPAG5, GINS2, BIRC5, KIF20A, DTL, PRC1, CDK1, BUB1B, UBE2C, CDCA8, KIF2C, CDC6, TPX2, BRCA2, CDT1, NEK2, KPNA2, MAD2L1, CCNB2, AURKB, MCM2, KIF4A, NCAPG, TOP2A, FANCI, KIF18A, NDC80, GINS1, TRIP13, HMGA2, ZWILCH, UBE2S, CDC25A, CCNF, NUSAP1, ECT2, NCAPD2, SMC4, GINS4, CDC25C, MCM7, CENPI, CENPA, KIF11, NCAPG2, TMPO, CDKN3, CKS2, CENPN, VRK1, RNASEH2A, LIG1, MCM3, KNTC1, TUBG1, RAD51AP1, RRM1, FANCA, BORA, POLD1, SMC2, PBK, CCNE1, CHEK2, DTYMK, DDX39A, SPDL1, TCERG1, NUP93, DNMT1, MCM6, DLGAP5, RFC4, CHEK1, CLIC1, MIS18A
CAIRO_HEPATOBLASTOMA_DN	0.00589880948736908	0.0274924059964873	0.407017918923954	-0.394981038168941	-1.55362695768893	96	PCK2, C1RL, C1R, ASS1, NFIL3, ACSL1, SRD5A1, FOXO1, SIGIRR, SHMT1, ETS2, MYOM1, CYP39A1, CTH, OSBPL1A, ACADS, MPC1, GPLD1, GOT1, C6, LEPR, ETFDH, DCPS, ACAT1, GRAMD4, PPARGC1A
CAIRO_HEPATOBLASTOMA_UP	0.738805970149254	0.804785797972594	0.037770500132479	0.268906997675799	0.81784727443516	59	HMGA2, PALLD, RACGAP1, ITGA6, MCM3, DKK1, ETV1, GMNN, ASAP2, FDPS, CLIC1, HMGCS1
CAIRO_LIVER_DEVELOPMENT_DN	0.00785841350872941	0.0349161528288093	0.380730400722792	-0.414839026097927	-1.60228786413732	78	PCK2, H6PD, SELENBP1, SERPINF1, HLA-B, SERPINF2, ACSL1, CFH, MST1, PPARA, AMY2B, LRP1, CES1, BICRAL, CAMP, C3
CAIRO_LIVER_DEVELOPMENT_UP	0.233247422680412	0.393887843415335	0.0972150808846466	0.409673206436053	1.19490844258221	48	HEPH, HMGA2, CAPN6, PLK2, SEMA3A, ID3, PKM, BASP1, SLC39A6, EHBP1, PLOD2
CAMPS_COLON_CANCER_COPY_NUMBER_DN	0.373770491803279	0.533361022208106	0.127505315300183	-0.370839136854907	-1.07606932961969	15	HLA-B, CES1, MACROD2, HLA-C, TMEM167B
CAMPS_COLON_CANCER_COPY_NUMBER_UP	0.111111111111111	0.238807831400424	0.257206466468838	-0.442903791583499	-1.39468886107709	23	PYCR1, SHMT1, EIF1, FLII, TRAF7, PEX5L, PRKN
CARD_MIR302A_TARGETS	0.037940379403794	0.120291103573287	0.271288554688953	0.579660001658485	1.54726295562266	29	STC1, KPNA2, CCND1, ZNF367, CCND2, E2F1, CDK2, DNMT1, RBBP7, IKZF2, TGFBR2, CDK6
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN	4.51108669578585e-09	6.91098481794392e-08	0.761460801445585	-0.39063359921688	-1.81726652268801	352	PCK2, C1RL, GNAO1, MT1X, CLYBL, OPLAH, C4B, C1S, PIM3, IL17RC, CRYL1, C1R, BCKDHA, DMGDH, C4A, ALDH6A1, ASS1, SLC7A2, EPHX2, ECI1, CES4A, NFIL3, NEBL, ACSL1, KNDC1, SRD5A1, CYP4V2, TTPAL, SIGIRR, SMIM14, SHMT1, PNRC1, ADAMTSL4, ADHFE1, MT1F, RILP, HMGCL, ETS2, MYOM1, CES1, ETHE1, MCCC1, TAPBPL, SFTPD, COL28A1, CYP39A1, CRAT, CTH, IL18R1, AKR1A1, GCHFR, C3, SLC22A18, SIAE, C11orf54, BLVRB, MOCOS, PIGV, TPD52L1, HSD17B8, BCKDHB, ADAMTS13, ACADS, USP2, MPC1, INHBE, PTGR1, GPLD1, SPTBN2, CAT, LINC00365, GOT1, C6, XBP1, PRSS8, DHRS4, LHPP, APOL6, HIBADH, IRF7, ETFBKMT, ZBTB43, CXCR1, TSLP, LDHD, SLC31A1, FTCDNL1, SYBU, ANKRD24, PPL, TSTD1, HINT2, ETFDH, DCPS, PTER, ACAT1, MSRB1, GRAMD4, PPARGC1A, ADRA1A, ALDH2, CBS, GOLT1A, DCXR, KATNAL2, ETFRF1, ALDH5A1, BTBD16, PTGFR
